year,country,p0p50,p90p100,p99p100
1988,PT,0.232,0.2961,0.0697
1989,PT,0.2309,0.2987,0.0722
1990,PT,0.2353,0.3026,0.0712
1991,PT,0.2245,0.3111,0.0776
1992,PT,0.2141,0.3183,0.0784
1993,PT,0.1972,0.3377,0.0838
1994,PT,0.1879,0.338,0.0853
1995,PT,0.1894,0.3432,0.085
1996,PT,0.1979,0.3359,0.0815
1997,PT,0.1968,0.344,0.0848
1998,PT,0.2059,0.3351,0.0797
1999,PT,0.2024,0.3405,0.0847
2000,PT,0.2057,0.3346,0.0779
2001,PT,0.1892,0.3582,0.088
2002,PT,0.1929,0.3509,0.0836
2003,PT,0.1956,0.3461,0.0843
2004,PT,0.1904,0.3587,0.0872
2005,PT,0.1953,0.3521,0.0889
2006,PT,0.1979,0.3521,0.0813
2007,PT,0.2004,0.3544,0.0865
2008,PT,0.2099,0.3419,0.0762
2009,PT,0.2124,0.3372,0.0748
2010,PT,0.209,0.3434,0.0789
2011,PT,0.2092,0.3438,0.0875
2012,PT,0.2125,0.3385,0.0842
2013,PT,0.2082,0.3338,0.0813
2014,PT,0.2067,0.3384,0.0894
2015,PT,0.2105,0.3339,0.0869
2016,PT,0.2152,0.3345,0.0876
2017,PT,0.2171,0.3358,0.0906
2018,PT,0.2248,0.324,0.085
2019,PT,0.2259,0.3184,0.083
2020,PT,0.2298,0.3077,0.0736
2021,PT,0.2284,0.3124,0.0777
1989,RO,0.2723,0.2036,0.0266
1990,RO,0.2819,0.2428,0.0358
1991,RO,0.2602,0.2292,0.0318
1992,RO,0.2447,0.192,0.0254
1993,RO,0.2377,0.2367,0.0333
1994,RO,0.2379,0.276,0.0404
1995,RO,0.1739,0.2871,0.0415
1996,RO,0.1635,0.2377,0.0318
1997,RO,0.1861,0.3313,0.0525
1998,RO,0.161,0.2526,0.0353
1999,RO,0.1647,0.22,0.0337
2000,RO,0.1662,0.2147,0.0316
2001,RO,0.1656,0.253,0.0341
2002,RO,0.153,0.2566,0.043
2003,RO,0.1491,0.2541,0.0567
2004,RO,0.1311,0.2636,0.0448
2005,RO,0.1454,0.2383,0.0439
2006,RO,0.1347,0.2802,0.0548
2007,RO,0.1278,0.3512,0.0883
2008,RO,0.1305,0.3673,0.1027
2009,RO,0.137,0.3775,0.1172
2010,RO,0.1573,0.3302,0.0778
2011,RO,0.1613,0.3401,0.0816
2012,RO,0.1503,0.3465,0.0935
2013,RO,0.1665,0.3026,0.0706
2014,RO,0.1481,0.3555,0.1035
2015,RO,0.1627,0.3315,0.0882
2016,RO,0.1678,0.3318,0.0809
2017,RO,0.1616,0.3236,0.0722
2018,RO,0.1507,0.3404,0.0786
2019,RO,0.1475,0.344,0.0841
2020,RO,0.1475,0.3438,0.0839
2021,RO,0.1476,0.3437,0.0838
1980,RS,0.2206,0.2918,0.0748
1981,RS,0.2206,0.2918,0.0748
1982,RS,0.2206,0.2918,0.0748
1983,RS,0.2206,0.2918,0.0748
1984,RS,0.2093,0.3116,0.0898
1985,RS,0.2144,0.3062,0.0918
1986,RS,0.213,0.2942,0.0851
1987,RS,0.2054,0.3206,0.0805
1988,RS,0.2067,0.3035,0.0968
1989,RS,0.2167,0.291,0.089
1990,RS,0.2171,0.2893,0.0927
1991,RS,0.216,0.2938,0.0951
1992,RS,0.2175,0.2968,0.0972
1993,RS,0.2185,0.3003,0.0999
1994,RS,0.219,0.3042,0.1029
1995,RS,0.2191,0.3084,0.1062
1996,RS,0.221,0.3078,0.1055
1997,RS,0.2227,0.3075,0.1053
1998,RS,0.2216,0.3126,0.1073
1999,RS,0.2303,0.2979,0.0961
2000,RS,0.1835,0.3751,0.1344
2001,RS,0.2109,0.3431,0.1225
2002,RS,0.1933,0.3549,0.1245
2003,RS,0.1829,0.3589,0.1246
2004,RS,0.1694,0.371,0.1262
2005,RS,0.1626,0.3752,0.1271
2006,RS,0.1479,0.389,0.121
2007,RS,0.1522,0.3725,0.1141
2008,RS,0.1525,0.3774,0.1188
2009,RS,0.1566,0.3638,0.1257
2010,RS,0.1578,0.3574,0.1023
2011,RS,0.16,0.3537,0.1257
2012,RS,0.1447,0.3863,0.1305
2013,RS,0.144,0.3788,0.1273
2014,RS,0.1319,0.4191,0.1686
2015,RS,0.1259,0.4599,0.2273
2016,RS,0.1332,0.4093,0.1574
2017,RS,0.1568,0.356,0.116
2018,RS,0.1763,0.3337,0.1008
2019,RS,0.1807,0.3526,0.1199
2020,RS,0.1781,0.3608,0.1266
2021,RS,0.1783,0.36,0.126
1980,SE,0.3285,0.2147,0.0624
1981,SE,0.351,0.2033,0.0617
1982,SE,0.3395,0.2196,0.0712
1983,SE,0.3393,0.22,0.0733
1984,SE,0.3347,0.2382,0.0887
1985,SE,0.347,0.2334,0.0867
1986,SE,0.3297,0.2326,0.0806
1987,SE,0.3359,0.2355,0.0818
1988,SE,0.331,0.2415,0.0862
1989,SE,0.3233,0.2434,0.0871
1990,SE,0.3338,0.2179,0.0675
1991,SE,0.323,0.2241,0.0557
1992,SE,0.3243,0.2274,0.0594
1993,SE,0.3263,0.2278,0.0593
1994,SE,0.2855,0.282,0.078
1995,SE,0.2894,0.2727,0.094
1996,SE,0.2918,0.2649,0.0884
1997,SE,0.282,0.2805,0.0992
1998,SE,0.2801,0.2806,0.0982
1999,SE,0.2835,0.2786,0.0966
2000,SE,0.3,0.2679,0.0856
2001,SE,0.3085,0.2488,0.0742
2002,SE,0.3348,0.2385,0.078
2003,SE,0.3281,0.2489,0.0862
2004,SE,0.3081,0.2674,0.0901
2005,SE,0.2897,0.2722,0.0907
2006,SE,0.2887,0.2814,0.1008
2007,SE,0.2824,0.2767,0.0954
2008,SE,0.2766,0.2716,0.0883
2009,SE,0.2802,0.2578,0.0724
2010,SE,0.2691,0.2654,0.0821
2011,SE,0.2744,0.2615,0.0795
2012,SE,0.2898,0.2501,0.0704
2013,SE,0.29,0.251,0.0714
2014,SE,0.2866,0.2521,0.0723
2015,SE,0.2858,0.2551,0.0749
2016,SE,0.2953,0.2375,0.0609
2017,SE,0.2917,0.248,0.07
2018,SE,0.2937,0.2397,0.0648
2019,SE,0.2913,0.2476,0.0717
2020,SE,0.2832,0.2653,0.0867
2021,SE,0.2774,0.2769,0.0986
2022,SE,0.2768,0.2783,0.0997
1980,SI,0.3239,0.1925,0.033
1981,SI,0.3239,0.1925,0.033
1982,SI,0.3239,0.1925,0.033
1983,SI,0.3239,0.1925,0.033
1984,SI,0.3239,0.1925,0.033
1985,SI,0.3239,0.1925,0.033
1986,SI,0.3239,0.1925,0.033
1987,SI,0.3239,0.1925,0.033
1988,SI,0.3239,0.1925,0.033
1989,SI,0.3239,0.1925,0.033
1990,SI,0.3239,0.1925,0.033
1991,SI,0.3236,0.1932,0.0334
1992,SI,0.3095,0.2077,0.043
1993,SI,0.2831,0.2311,0.0466
1994,SI,0.2976,0.2309,0.0474
1995,SI,0.2816,0.2357,0.0489
1996,SI,0.2811,0.2417,0.0484
1997,SI,0.2796,0.2505,0.0492
1998,SI,0.2824,0.2384,0.0559
1999,SI,0.2759,0.2561,0.0608
2000,SI,0.282,0.2411,0.0526
2001,SI,0.2824,0.2417,0.0535
2002,SI,0.2795,0.244,0.052
2003,SI,0.2775,0.2502,0.0565
2004,SI,0.2733,0.2492,0.0542
2005,SI,0.2759,0.2452,0.0519
2006,SI,0.275,0.2478,0.0569
2007,SI,0.2752,0.2475,0.0555
2008,SI,0.2784,0.2475,0.0553
2009,SI,0.2802,0.2441,0.0521
2010,SI,0.2787,0.2446,0.0534
2011,SI,0.2822,0.24,0.0516
2012,SI,0.2772,0.2407,0.049
2013,SI,0.2732,0.2453,0.052
2014,SI,0.2686,0.2536,0.0597
2015,SI,0.2746,0.242,0.052
2016,SI,0.277,0.2442,0.0537
2017,SI,0.2803,0.2476,0.059
2018,SI,0.2844,0.2488,0.0598
2019,SI,0.2846,0.2484,0.0591
2020,SI,0.2826,0.2529,0.0633
2021,SI,0.2828,0.2525,0.0629
1980,SK,0.3122,0.2024,0.0331
1981,SK,0.3073,0.2006,0.0307
1982,SK,0.3279,0.1992,0.0322
1983,SK,0.3295,0.1987,0.0319
1984,SK,0.3311,0.1977,0.0318
1985,SK,0.3319,0.1971,0.0316
1986,SK,0.3319,0.1991,0.0332
1987,SK,0.3315,0.2022,0.0347
1988,SK,0.3315,0.2046,0.0363
1989,SK,0.3308,0.2061,0.0379
1990,SK,0.3278,0.208,0.0402
1991,SK,0.3099,0.2278,0.0521
1992,SK,0.3092,0.2168,0.0459
1993,SK,0.2813,0.2292,0.0511
1994,SK,0.264,0.2348,0.0508
1995,SK,0.2401,0.2464,0.0559
1996,SK,0.2537,0.2497,0.0585
1997,SK,0.27,0.2434,0.0572
1998,SK,0.2732,0.2439,0.0585
1999,SK,0.2754,0.2504,0.0618
2000,SK,0.2752,0.2509,0.0638
2001,SK,0.2695,0.2648,0.0716
2002,SK,0.2671,0.2665,0.0718
2003,SK,0.2664,0.2648,0.0722
2004,SK,0.2594,0.2747,0.0827
2005,SK,0.2608,0.2755,0.0803
2006,SK,0.2592,0.2834,0.0851
2007,SK,0.2606,0.2839,0.0839
2008,SK,0.2634,0.28,0.0796
2009,SK,0.2608,0.2742,0.0812
2010,SK,0.2491,0.2957,0.098
2011,SK,0.2498,0.2877,0.0862
2012,SK,0.2549,0.2814,0.086
2013,SK,0.256,0.3058,0.1053
2014,SK,0.2754,0.278,0.0891
2015,SK,0.2664,0.2928,0.0996
2016,SK,0.2797,0.2671,0.0758
2017,SK,0.2934,0.2442,0.0683
2018,SK,0.2825,0.2474,0.0635
2019,SK,0.2919,0.2373,0.0606
2020,SK,0.2951,0.23,0.0543
2021,SK,0.2948,0.2307,0.0549
1980,US,0.2544,0.2912,0.0834
1981,US,0.2492,0.3003,0.0898
1982,US,0.241,0.3053,0.0933
1983,US,0.2322,0.3141,0.0984
1984,US,0.2252,0.3274,0.1067
1985,US,0.2245,0.3284,0.1091
1986,US,0.221,0.3238,0.1031
1987,US,0.2202,0.3301,0.1138
1988,US,0.212,0.3512,0.1339
1989,US,0.2149,0.3459,0.1287
1990,US,0.2145,0.3452,0.1281
1991,US,0.2159,0.3379,0.1167
1992,US,0.2091,0.3475,0.1251
1993,US,0.2123,0.3414,0.1166
1994,US,0.2134,0.3401,0.1153
1995,US,0.2107,0.3457,0.1192
1996,US,0.2068,0.3537,0.1253
1997,US,0.2044,0.3592,0.1313
1998,US,0.2029,0.3608,0.1326
1999,US,0.1999,0.3641,0.1356
2000,US,0.1962,0.369,0.1405
2001,US,0.1985,0.3676,0.1397
2002,US,0.1987,0.368,0.1402
2003,US,0.1952,0.3716,0.1436
2004,US,0.1924,0.3772,0.1484
2005,US,0.1904,0.3837,0.1546
2006,US,0.1885,0.3879,0.1574
2007,US,0.1928,0.3806,0.1523
2008,US,0.1984,0.374,0.1486
2009,US,0.1938,0.3724,0.1443
2010,US,0.1937,0.3833,0.1557
2011,US,0.1907,0.3879,0.1581
2012,US,0.1822,0.4016,0.1694
2013,US,0.1854,0.3935,0.1585
2014,US,0.1824,0.3984,0.1621
2015,US,0.1836,0.3959,0.1596
2016,US,0.1811,0.3961,0.1592
2017,US,0.1838,0.397,0.161
2018,US,0.1802,0.4035,0.1655
2019,US,0.1832,0.4018,0.164
