year,country,lowest_50,highst_10,highst_1,region,region2,shortname,decade
1992,LV,0.2686,0.2437,0.0499,Europe,Eastern Europe,Latvia,1990
1993,LV,0.2507,0.2648,0.054,Europe,Eastern Europe,Latvia,1990
1994,LV,0.239,0.2835,0.0683,Europe,Eastern Europe,Latvia,1990
1995,LV,0.2239,0.3054,0.0816,Europe,Eastern Europe,Latvia,1990
1996,LV,0.204,0.3234,0.0882,Europe,Eastern Europe,Latvia,1990
1997,LV,0.2035,0.3208,0.083,Europe,Eastern Europe,Latvia,1990
1998,LV,0.1964,0.3335,0.0888,Europe,Eastern Europe,Latvia,1990
1999,LV,0.2011,0.324,0.082,Europe,Eastern Europe,Latvia,1990
2000,LV,0.1962,0.3365,0.0879,Europe,Eastern Europe,Latvia,2000
2001,LV,0.1959,0.3354,0.0858,Europe,Eastern Europe,Latvia,2000
2002,LV,0.1921,0.3476,0.0925,Europe,Eastern Europe,Latvia,2000
2003,LV,0.1776,0.3579,0.1007,Europe,Eastern Europe,Latvia,2000
2004,LV,0.1972,0.3529,0.0968,Europe,Eastern Europe,Latvia,2000
2005,LV,0.186,0.3665,0.105,Europe,Eastern Europe,Latvia,2000
2006,LV,0.1963,0.33,0.0837,Europe,Eastern Europe,Latvia,2000
2007,LV,0.181,0.3507,0.0907,Europe,Eastern Europe,Latvia,2000
2008,LV,0.1927,0.3399,0.0908,Europe,Eastern Europe,Latvia,2000
2009,LV,0.1988,0.3555,0.1044,Europe,Eastern Europe,Latvia,2000
2010,LV,0.2109,0.3361,0.0866,Europe,Eastern Europe,Latvia,2010
2011,LV,0.2073,0.3449,0.0939,Europe,Eastern Europe,Latvia,2010
2012,LV,0.206,0.3453,0.0995,Europe,Eastern Europe,Latvia,2010
2013,LV,0.2027,0.3493,0.1041,Europe,Eastern Europe,Latvia,2010
2014,LV,0.2053,0.3401,0.0922,Europe,Eastern Europe,Latvia,2010
2015,LV,0.2107,0.3254,0.0834,Europe,Eastern Europe,Latvia,2010
2016,LV,0.2155,0.308,0.0688,Europe,Eastern Europe,Latvia,2010
2017,LV,0.2067,0.3285,0.083,Europe,Eastern Europe,Latvia,2010
2018,LV,0.2091,0.3201,0.083,Europe,Eastern Europe,Latvia,2010
2019,LV,0.2066,0.3252,0.086,Europe,Eastern Europe,Latvia,2010
2020,LV,0.2248,0.3066,0.075,Europe,Eastern Europe,Latvia,2020
2021,LV,0.2234,0.3082,0.0761,Europe,Eastern Europe,Latvia,2020
1988,MD,0.2904,0.2237,0.043,Europe,Eastern Europe,Moldova,1980
1989,MD,0.2752,0.2396,0.0503,Europe,Eastern Europe,Moldova,1980
1990,MD,0.2596,0.2545,0.0551,Europe,Eastern Europe,Moldova,1990
1991,MD,0.2434,0.27,0.0612,Europe,Eastern Europe,Moldova,1990
1992,MD,0.2254,0.2861,0.0671,Europe,Eastern Europe,Moldova,1990
1993,MD,0.2089,0.3015,0.0735,Europe,Eastern Europe,Moldova,1990
1994,MD,0.1967,0.3149,0.0778,Europe,Eastern Europe,Moldova,1990
1995,MD,0.184,0.3284,0.0821,Europe,Eastern Europe,Moldova,1990
1996,MD,0.1698,0.3433,0.0871,Europe,Eastern Europe,Moldova,1990
1997,MD,0.1587,0.3564,0.091,Europe,Eastern Europe,Moldova,1990
1998,MD,0.1702,0.3327,0.0781,Europe,Eastern Europe,Moldova,1990
1999,MD,0.1737,0.3287,0.076,Europe,Eastern Europe,Moldova,1990
2000,MD,0.1763,0.3272,0.0764,Europe,Eastern Europe,Moldova,2000
2001,MD,0.1753,0.3302,0.076,Europe,Eastern Europe,Moldova,2000
2002,MD,0.1773,0.3264,0.0756,Europe,Eastern Europe,Moldova,2000
2003,MD,0.1748,0.3322,0.0811,Europe,Eastern Europe,Moldova,2000
2004,MD,0.1809,0.3262,0.0771,Europe,Eastern Europe,Moldova,2000
2005,MD,0.1783,0.3302,0.08,Europe,Eastern Europe,Moldova,2000
2006,MD,0.1782,0.3289,0.0803,Europe,Eastern Europe,Moldova,2000
2007,MD,0.1805,0.3289,0.0804,Europe,Eastern Europe,Moldova,2000
2008,MD,0.1788,0.3332,0.0879,Europe,Eastern Europe,Moldova,2000
2009,MD,0.1798,0.3369,0.0911,Europe,Eastern Europe,Moldova,2000
2010,MD,0.182,0.3302,0.0869,Europe,Eastern Europe,Moldova,2010
2011,MD,0.1826,0.3313,0.0924,Europe,Eastern Europe,Moldova,2010
2012,MD,0.1805,0.3297,0.0923,Europe,Eastern Europe,Moldova,2010
2013,MD,0.1816,0.3252,0.087,Europe,Eastern Europe,Moldova,2010
2014,MD,0.18,0.3252,0.0892,Europe,Eastern Europe,Moldova,2010
2015,MD,0.1776,0.3309,0.0937,Europe,Eastern Europe,Moldova,2010
2016,MD,0.1811,0.3261,0.0915,Europe,Eastern Europe,Moldova,2010
2017,MD,0.1825,0.3235,0.0907,Europe,Eastern Europe,Moldova,2010
2018,MD,0.1828,0.3262,0.0918,Europe,Eastern Europe,Moldova,2010
2019,MD,0.182,0.3293,0.0948,Europe,Eastern Europe,Moldova,2010
2020,MD,0.1823,0.3288,0.0943,Europe,Eastern Europe,Moldova,2020
2021,MD,0.1822,0.3289,0.0943,Europe,Eastern Europe,Moldova,2020
1980,ME,0.2484,0.2627,0.0626,Europe,Eastern Europe,Montenegro,1980
1981,ME,0.2484,0.2627,0.0626,Europe,Eastern Europe,Montenegro,1980
1982,ME,0.2484,0.2627,0.0626,Europe,Eastern Europe,Montenegro,1980
1983,ME,0.2485,0.2626,0.0626,Europe,Eastern Europe,Montenegro,1980
1984,ME,0.2428,0.2697,0.0664,Europe,Eastern Europe,Montenegro,1980
1985,ME,0.2441,0.2655,0.0636,Europe,Eastern Europe,Montenegro,1980
1986,ME,0.2385,0.2606,0.0573,Europe,Eastern Europe,Montenegro,1980
1987,ME,0.2394,0.2679,0.0632,Europe,Eastern Europe,Montenegro,1980
1988,ME,0.2215,0.281,0.0679,Europe,Eastern Europe,Montenegro,1980
1989,ME,0.2445,0.2568,0.0569,Europe,Eastern Europe,Montenegro,1980
1990,ME,0.2474,0.255,0.0566,Europe,Eastern Europe,Montenegro,1990
1991,ME,0.2486,0.2559,0.0564,Europe,Eastern Europe,Montenegro,1990
1992,ME,0.249,0.2582,0.0573,Europe,Eastern Europe,Montenegro,1990
1993,ME,0.2489,0.2611,0.0589,Europe,Eastern Europe,Montenegro,1990
1994,ME,0.2488,0.2644,0.061,Europe,Eastern Europe,Montenegro,1990
1995,ME,0.2483,0.2684,0.0639,Europe,Eastern Europe,Montenegro,1990
1996,ME,0.2489,0.2683,0.0627,Europe,Eastern Europe,Montenegro,1990
1997,ME,0.2493,0.2686,0.0619,Europe,Eastern Europe,Montenegro,1990
1998,ME,0.2501,0.2728,0.0646,Europe,Eastern Europe,Montenegro,1990
1999,ME,0.263,0.2544,0.0532,Europe,Eastern Europe,Montenegro,1990
2000,ME,0.2244,0.3123,0.0815,Europe,Eastern Europe,Montenegro,2000
2001,ME,0.2512,0.2817,0.0728,Europe,Eastern Europe,Montenegro,2000
2002,ME,0.2413,0.2869,0.0746,Europe,Eastern Europe,Montenegro,2000
2003,ME,0.2296,0.2965,0.0773,Europe,Eastern Europe,Montenegro,2000
2004,ME,0.22,0.3009,0.075,Europe,Eastern Europe,Montenegro,2000
2005,ME,0.2048,0.3088,0.0732,Europe,Eastern Europe,Montenegro,2000
2006,ME,0.2013,0.3079,0.0742,Europe,Eastern Europe,Montenegro,2000
2007,ME,0.1981,0.3097,0.074,Europe,Eastern Europe,Montenegro,2000
2008,ME,0.1939,0.3137,0.0731,Europe,Eastern Europe,Montenegro,2000
2009,ME,0.1891,0.3173,0.0765,Europe,Eastern Europe,Montenegro,2000
2010,ME,0.1847,0.3224,0.0781,Europe,Eastern Europe,Montenegro,2010
2011,ME,0.1802,0.3274,0.0795,Europe,Eastern Europe,Montenegro,2010
2012,ME,0.178,0.3268,0.0789,Europe,Eastern Europe,Montenegro,2010
2013,ME,0.1839,0.3222,0.0732,Europe,Eastern Europe,Montenegro,2010
2014,ME,0.1861,0.3154,0.0723,Europe,Eastern Europe,Montenegro,2010
2015,ME,0.1706,0.3345,0.085,Europe,Eastern Europe,Montenegro,2010
2016,ME,0.1809,0.3318,0.0843,Europe,Eastern Europe,Montenegro,2010
2017,ME,0.189,0.3113,0.0664,Europe,Eastern Europe,Montenegro,2010
2018,ME,0.1866,0.3099,0.0648,Europe,Eastern Europe,Montenegro,2010
2019,ME,0.1872,0.3076,0.0623,Europe,Eastern Europe,Montenegro,2010
2020,ME,0.1869,0.307,0.0614,Europe,Eastern Europe,Montenegro,2020
2021,ME,0.187,0.3072,0.0618,Europe,Eastern Europe,Montenegro,2020
1983,MK,0.2758,0.2507,0.0657,Europe,Eastern Europe,North Macedonia,1980
1984,MK,0.2703,0.2584,0.07,Europe,Eastern Europe,North Macedonia,1980
1985,MK,0.2719,0.2538,0.0671,Europe,Eastern Europe,North Macedonia,1980
1986,MK,0.2681,0.2482,0.0602,Europe,Eastern Europe,North Macedonia,1980
1987,MK,0.2678,0.2565,0.0671,Europe,Eastern Europe,North Macedonia,1980
1988,MK,0.2536,0.2692,0.0718,Europe,Eastern Europe,North Macedonia,1980
1989,MK,0.2731,0.2448,0.0599,Europe,Eastern Europe,North Macedonia,1980
1990,MK,0.2757,0.2427,0.0594,Europe,Eastern Europe,North Macedonia,1990
1991,MK,0.2635,0.2475,0.0595,Europe,Eastern Europe,North Macedonia,1990
1992,MK,0.2506,0.2536,0.0605,Europe,Eastern Europe,North Macedonia,1990
1993,MK,0.2373,0.2602,0.0623,Europe,Eastern Europe,North Macedonia,1990
1994,MK,0.2241,0.267,0.0646,Europe,Eastern Europe,North Macedonia,1990
1995,MK,0.2105,0.2747,0.0676,Europe,Eastern Europe,North Macedonia,1990
1996,MK,0.1694,0.3277,0.0885,Europe,Eastern Europe,North Macedonia,1990
1997,MK,0.2054,0.3089,0.0831,Europe,Eastern Europe,North Macedonia,1990
1998,MK,0.2041,0.2747,0.0641,Europe,Eastern Europe,North Macedonia,1990
1999,MK,0.2034,0.27,0.06,Europe,Eastern Europe,North Macedonia,1990
2000,MK,0.208,0.2602,0.0614,Europe,Eastern Europe,North Macedonia,2000
2001,MK,0.2029,0.2758,0.0731,Europe,Eastern Europe,North Macedonia,2000
2002,MK,0.2041,0.2607,0.0584,Europe,Eastern Europe,North Macedonia,2000
2003,MK,0.1998,0.2717,0.0619,Europe,Eastern Europe,North Macedonia,2000
2004,MK,0.1966,0.2741,0.0599,Europe,Eastern Europe,North Macedonia,2000
2005,MK,0.1907,0.2793,0.059,Europe,Eastern Europe,North Macedonia,2000
2006,MK,0.1955,0.2805,0.0575,Europe,Eastern Europe,North Macedonia,2000
2007,MK,0.1934,0.2837,0.0574,Europe,Eastern Europe,North Macedonia,2000
2008,MK,0.1929,0.2934,0.0604,Europe,Eastern Europe,North Macedonia,2000
2009,MK,0.1936,0.298,0.0613,Europe,Eastern Europe,North Macedonia,2000
2010,MK,0.1952,0.3038,0.0646,Europe,Eastern Europe,North Macedonia,2010
2011,MK,0.1985,0.3023,0.0618,Europe,Eastern Europe,North Macedonia,2010
2012,MK,0.2147,0.2902,0.0609,Europe,Eastern Europe,North Macedonia,2010
2013,MK,0.221,0.283,0.0628,Europe,Eastern Europe,North Macedonia,2010
2014,MK,0.236,0.2728,0.0578,Europe,Eastern Europe,North Macedonia,2010
2015,MK,0.2362,0.2733,0.0621,Europe,Eastern Europe,North Macedonia,2010
2016,MK,0.2414,0.2647,0.0588,Europe,Eastern Europe,North Macedonia,2010
2017,MK,0.2446,0.2653,0.0644,Europe,Eastern Europe,North Macedonia,2010
2018,MK,0.2521,0.2517,0.0522,Europe,Eastern Europe,North Macedonia,2010
2019,MK,0.2532,0.2486,0.0491,Europe,Eastern Europe,North Macedonia,2010
2020,MK,0.2532,0.2475,0.0481,Europe,Eastern Europe,North Macedonia,2020
2021,MK,0.2532,0.248,0.0485,Europe,Eastern Europe,North Macedonia,2020
2006,MT,0.2628,0.2535,0.0523,Europe,Western Europe,Malta,2000
2007,MT,0.2587,0.2537,0.0515,Europe,Western Europe,Malta,2000
2008,MT,0.2635,0.2665,0.0585,Europe,Western Europe,Malta,2000
2009,MT,0.2529,0.2802,0.0684,Europe,Western Europe,Malta,2000
2010,MT,0.2548,0.2694,0.0649,Europe,Western Europe,Malta,2010
2011,MT,0.2543,0.2828,0.0779,Europe,Western Europe,Malta,2010
2012,MT,0.2497,0.291,0.0825,Europe,Western Europe,Malta,2010
2013,MT,0.251,0.292,0.0812,Europe,Western Europe,Malta,2010
2014,MT,0.2466,0.2975,0.0831,Europe,Western Europe,Malta,2010
2015,MT,0.2407,0.3031,0.0836,Europe,Western Europe,Malta,2010
2016,MT,0.247,0.2945,0.0782,Europe,Western Europe,Malta,2010
2017,MT,0.2416,0.3026,0.0861,Europe,Western Europe,Malta,2010
2018,MT,0.2429,0.2991,0.0754,Europe,Western Europe,Malta,2010
2019,MT,0.2367,0.3079,0.083,Europe,Western Europe,Malta,2010
2020,MT,0.2384,0.3046,0.08,Europe,Western Europe,Malta,2020
2021,MT,0.238,0.3056,0.0811,Europe,Western Europe,Malta,2020
1980,NL,0.3027,0.2315,0.0504,Europe,Western Europe,Netherlands,1980
1981,NL,0.3025,0.2312,0.0499,Europe,Western Europe,Netherlands,1980
1982,NL,0.3024,0.2315,0.0498,Europe,Western Europe,Netherlands,1980
1983,NL,0.2905,0.2366,0.051,Europe,Western Europe,Netherlands,1980
1984,NL,0.2906,0.2352,0.0499,Europe,Western Europe,Netherlands,1980
1985,NL,0.29,0.2355,0.0487,Europe,Western Europe,Netherlands,1980
1986,NL,0.2922,0.2376,0.0503,Europe,Western Europe,Netherlands,1980
1987,NL,0.2917,0.2345,0.0502,Europe,Western Europe,Netherlands,1980
1988,NL,0.297,0.233,0.0502,Europe,Western Europe,Netherlands,1980
1989,NL,0.2963,0.2312,0.0473,Europe,Western Europe,Netherlands,1980
1990,NL,0.2928,0.232,0.0483,Europe,Western Europe,Netherlands,1990
1991,NL,0.2912,0.2325,0.0488,Europe,Western Europe,Netherlands,1990
1992,NL,0.2941,0.2331,0.0496,Europe,Western Europe,Netherlands,1990
1993,NL,0.2919,0.2288,0.0468,Europe,Western Europe,Netherlands,1990
1994,NL,0.2918,0.2313,0.047,Europe,Western Europe,Netherlands,1990
1995,NL,0.2903,0.2341,0.049,Europe,Western Europe,Netherlands,1990
1996,NL,0.2919,0.2344,0.0501,Europe,Western Europe,Netherlands,1990
1997,NL,0.2955,0.2321,0.0497,Europe,Western Europe,Netherlands,1990
1998,NL,0.2987,0.232,0.0484,Europe,Western Europe,Netherlands,1990
1999,NL,0.2942,0.2333,0.0483,Europe,Western Europe,Netherlands,1990
2000,NL,0.2973,0.234,0.0511,Europe,Western Europe,Netherlands,2000
2001,NL,0.2919,0.2422,0.0548,Europe,Western Europe,Netherlands,2000
2002,NL,0.2897,0.2413,0.0555,Europe,Western Europe,Netherlands,2000
2003,NL,0.2853,0.2456,0.0558,Europe,Western Europe,Netherlands,2000
2004,NL,0.2866,0.243,0.0545,Europe,Western Europe,Netherlands,2000
2005,NL,0.2918,0.2423,0.0558,Europe,Western Europe,Netherlands,2000
2006,NL,0.283,0.2552,0.0636,Europe,Western Europe,Netherlands,2000
2007,NL,0.277,0.2654,0.0647,Europe,Western Europe,Netherlands,2000
2008,NL,0.2927,0.2405,0.0541,Europe,Western Europe,Netherlands,2000
2009,NL,0.2907,0.2416,0.0531,Europe,Western Europe,Netherlands,2000
2010,NL,0.2859,0.2479,0.0545,Europe,Western Europe,Netherlands,2010
2011,NL,0.2773,0.2533,0.0574,Europe,Western Europe,Netherlands,2010
2012,NL,0.2831,0.2504,0.055,Europe,Western Europe,Netherlands,2010
2013,NL,0.2752,0.2403,0.0515,Europe,Western Europe,Netherlands,2010
2014,NL,0.2754,0.242,0.0543,Europe,Western Europe,Netherlands,2010
2015,NL,0.2715,0.2467,0.0559,Europe,Western Europe,Netherlands,2010
2016,NL,0.2718,0.244,0.0544,Europe,Western Europe,Netherlands,2010
2017,NL,0.269,0.2507,0.0568,Europe,Western Europe,Netherlands,2010
2018,NL,0.2698,0.2499,0.057,Europe,Western Europe,Netherlands,2010
2019,NL,0.2731,0.2458,0.0552,Europe,Western Europe,Netherlands,2010
2020,NL,0.2747,0.2428,0.0539,Europe,Western Europe,Netherlands,2020
2021,NL,0.2743,0.2436,0.0542,Europe,Western Europe,Netherlands,2020
1980,NO,0.3187,0.2213,0.0508,Europe,Western Europe,Norway,1980
1981,NO,0.32,0.2216,0.0501,Europe,Western Europe,Norway,1980
1982,NO,0.3239,0.2123,0.0477,Europe,Western Europe,Norway,1980
1983,NO,0.3271,0.2091,0.0439,Europe,Western Europe,Norway,1980
1984,NO,0.3281,0.2123,0.0504,Europe,Western Europe,Norway,1980
1985,NO,0.3277,0.2129,0.0497,Europe,Western Europe,Norway,1980
1986,NO,0.3368,0.1999,0.0423,Europe,Western Europe,Norway,1980
1987,NO,0.338,0.199,0.0416,Europe,Western Europe,Norway,1980
1988,NO,0.3362,0.1954,0.0394,Europe,Western Europe,Norway,1980
1989,NO,0.3455,0.1973,0.0426,Europe,Western Europe,Norway,1980
1990,NO,0.3424,0.1963,0.042,Europe,Western Europe,Norway,1990
1991,NO,0.3394,0.2048,0.0458,Europe,Western Europe,Norway,1990
1992,NO,0.3466,0.2012,0.0501,Europe,Western Europe,Norway,1990
1993,NO,0.333,0.2211,0.0624,Europe,Western Europe,Norway,1990
1994,NO,0.3213,0.2304,0.0661,Europe,Western Europe,Norway,1990
1995,NO,0.3232,0.2263,0.0632,Europe,Western Europe,Norway,1990
1996,NO,0.3089,0.2509,0.0714,Europe,Western Europe,Norway,1990
1997,NO,0.3029,0.2588,0.0856,Europe,Western Europe,Norway,1990
1998,NO,0.314,0.243,0.0762,Europe,Western Europe,Norway,1990
1999,NO,0.3137,0.2475,0.0775,Europe,Western Europe,Norway,1990
2000,NO,0.3033,0.2685,0.1043,Europe,Western Europe,Norway,2000
2001,NO,0.3167,0.2414,0.0751,Europe,Western Europe,Norway,2000
2002,NO,0.3138,0.2521,0.0897,Europe,Western Europe,Norway,2000
2003,NO,0.3114,0.254,0.0895,Europe,Western Europe,Norway,2000
2004,NO,0.309,0.2559,0.0894,Europe,Western Europe,Norway,2000
2005,NO,0.3066,0.2579,0.0892,Europe,Western Europe,Norway,2000
2006,NO,0.3042,0.2598,0.089,Europe,Western Europe,Norway,2000
2007,NO,0.3041,0.2621,0.0875,Europe,Western Europe,Norway,2000
2008,NO,0.3104,0.258,0.0869,Europe,Western Europe,Norway,2000
2009,NO,0.3195,0.2396,0.0713,Europe,Western Europe,Norway,2000
2010,NO,0.3105,0.2516,0.0789,Europe,Western Europe,Norway,2010
2011,NO,0.3108,0.2475,0.0714,Europe,Western Europe,Norway,2010
2012,NO,0.3097,0.2485,0.0728,Europe,Western Europe,Norway,2010
2013,NO,0.3056,0.2542,0.0771,Europe,Western Europe,Norway,2010
2014,NO,0.3101,0.2478,0.0719,Europe,Western Europe,Norway,2010
2015,NO,0.3061,0.249,0.0683,Europe,Western Europe,Norway,2010
2016,NO,0.3027,0.2501,0.0674,Europe,Western Europe,Norway,2010
2017,NO,0.3028,0.2509,0.0692,Europe,Western Europe,Norway,2010
2018,NO,0.301,0.254,0.0725,Europe,Western Europe,Norway,2010
2019,NO,0.3108,0.2343,0.0553,Europe,Western Europe,Norway,2010
2020,NO,0.3075,0.2409,0.0608,Europe,Western Europe,Norway,2020
2021,NO,0.3077,0.2405,0.0604,Europe,Western Europe,Norway,2020
1983,PL,0.3193,0.2039,0.0375,Europe,Eastern Europe,Poland,1980
1984,PL,0.3155,0.2109,0.0426,Europe,Eastern Europe,Poland,1980
1985,PL,0.3143,0.2076,0.038,Europe,Eastern Europe,Poland,1980
1986,PL,0.2992,0.2133,0.0339,Europe,Eastern Europe,Poland,1980
1987,PL,0.3074,0.205,0.0341,Europe,Eastern Europe,Poland,1980
1988,PL,0.3103,0.2019,0.0325,Europe,Eastern Europe,Poland,1980
1989,PL,0.3028,0.2126,0.0381,Europe,Eastern Europe,Poland,1980
1990,PL,0.2842,0.2241,0.0434,Europe,Eastern Europe,Poland,1990
1991,PL,0.2801,0.2437,0.0536,Europe,Eastern Europe,Poland,1990
1992,PL,0.2776,0.2321,0.0543,Europe,Eastern Europe,Poland,1990
1993,PL,0.278,0.2349,0.0533,Europe,Eastern Europe,Poland,1990
1994,PL,0.2627,0.2557,0.069,Europe,Eastern Europe,Poland,1990
1995,PL,0.2498,0.2827,0.0853,Europe,Eastern Europe,Poland,1990
1996,PL,0.237,0.286,0.0777,Europe,Eastern Europe,Poland,1990
1997,PL,0.2488,0.2799,0.0796,Europe,Eastern Europe,Poland,1990
1998,PL,0.2482,0.2851,0.0812,Europe,Eastern Europe,Poland,1990
1999,PL,0.247,0.2787,0.0847,Europe,Eastern Europe,Poland,1990
2000,PL,0.2356,0.3027,0.0861,Europe,Eastern Europe,Poland,2000
2001,PL,0.2292,0.3027,0.0881,Europe,Eastern Europe,Poland,2000
2002,PL,0.2254,0.2996,0.0876,Europe,Eastern Europe,Poland,2000
2003,PL,0.2132,0.3262,0.0834,Europe,Eastern Europe,Poland,2000
2004,PL,0.2169,0.3091,0.0981,Europe,Eastern Europe,Poland,2000
2005,PL,0.216,0.3151,0.0947,Europe,Eastern Europe,Poland,2000
2006,PL,0.2166,0.3262,0.1076,Europe,Eastern Europe,Poland,2000
2007,PL,0.2213,0.3292,0.1139,Europe,Eastern Europe,Poland,2000
2008,PL,0.2167,0.3356,0.1166,Europe,Eastern Europe,Poland,2000
2009,PL,0.2111,0.331,0.11,Europe,Eastern Europe,Poland,2000
2010,PL,0.212,0.3335,0.1084,Europe,Eastern Europe,Poland,2010
2011,PL,0.2124,0.3319,0.1069,Europe,Eastern Europe,Poland,2010
2012,PL,0.2156,0.3278,0.1029,Europe,Eastern Europe,Poland,2010
2013,PL,0.2155,0.3269,0.1039,Europe,Eastern Europe,Poland,2010
2014,PL,0.212,0.3354,0.1107,Europe,Eastern Europe,Poland,2010
2015,PL,0.2113,0.3367,0.1126,Europe,Eastern Europe,Poland,2010
2016,PL,0.2215,0.327,0.1084,Europe,Eastern Europe,Poland,2010
2017,PL,0.2304,0.3218,0.106,Europe,Eastern Europe,Poland,2010
2018,PL,0.2239,0.3247,0.1069,Europe,Eastern Europe,Poland,2010
2019,PL,0.2231,0.3263,0.1084,Europe,Eastern Europe,Poland,2010
2020,PL,0.2212,0.3307,0.1119,Europe,Eastern Europe,Poland,2020
2021,PL,0.2214,0.3302,0.1115,Europe,Eastern Europe,Poland,2020
1980,PT,0.2598,0.2514,0.0551,Europe,Western Europe,Portugal,1980
1981,PT,0.2674,0.247,0.049,Europe,Western Europe,Portugal,1980
1982,PT,0.2443,0.2749,0.0507,Europe,Western Europe,Portugal,1980
1983,PT,0.2425,0.276,0.0582,Europe,Western Europe,Portugal,1980
1984,PT,0.2351,0.2852,0.059,Europe,Western Europe,Portugal,1980
1985,PT,0.2348,0.287,0.0606,Europe,Western Europe,Portugal,1980
1986,PT,0.2325,0.2904,0.0668,Europe,Western Europe,Portugal,1980
1987,PT,0.2318,0.2932,0.068,Europe,Western Europe,Portugal,1980
1988,PT,0.232,0.2961,0.0697,Europe,Western Europe,Portugal,1980
1989,PT,0.2309,0.2987,0.0722,Europe,Western Europe,Portugal,1980
1990,PT,0.2353,0.3026,0.0712,Europe,Western Europe,Portugal,1990
1991,PT,0.2245,0.3111,0.0776,Europe,Western Europe,Portugal,1990
1992,PT,0.2141,0.3183,0.0784,Europe,Western Europe,Portugal,1990
1993,PT,0.1972,0.3377,0.0838,Europe,Western Europe,Portugal,1990
1994,PT,0.1879,0.338,0.0853,Europe,Western Europe,Portugal,1990
1995,PT,0.1894,0.3432,0.085,Europe,Western Europe,Portugal,1990
1996,PT,0.1979,0.3359,0.0815,Europe,Western Europe,Portugal,1990
1997,PT,0.1968,0.344,0.0848,Europe,Western Europe,Portugal,1990
1998,PT,0.2059,0.3351,0.0797,Europe,Western Europe,Portugal,1990
1999,PT,0.2024,0.3405,0.0847,Europe,Western Europe,Portugal,1990
2000,PT,0.2057,0.3346,0.0779,Europe,Western Europe,Portugal,2000
2001,PT,0.1892,0.3582,0.088,Europe,Western Europe,Portugal,2000
2002,PT,0.1929,0.3509,0.0836,Europe,Western Europe,Portugal,2000
2003,PT,0.1956,0.3461,0.0843,Europe,Western Europe,Portugal,2000
2004,PT,0.1904,0.3587,0.0872,Europe,Western Europe,Portugal,2000
2005,PT,0.1953,0.3521,0.0889,Europe,Western Europe,Portugal,2000
2006,PT,0.1979,0.3521,0.0813,Europe,Western Europe,Portugal,2000
2007,PT,0.2004,0.3544,0.0865,Europe,Western Europe,Portugal,2000
2008,PT,0.2099,0.3419,0.0762,Europe,Western Europe,Portugal,2000
2009,PT,0.2124,0.3372,0.0748,Europe,Western Europe,Portugal,2000
2010,PT,0.209,0.3434,0.0789,Europe,Western Europe,Portugal,2010
2011,PT,0.2092,0.3438,0.0875,Europe,Western Europe,Portugal,2010
2012,PT,0.2125,0.3385,0.0842,Europe,Western Europe,Portugal,2010
2013,PT,0.2082,0.3338,0.0813,Europe,Western Europe,Portugal,2010
2014,PT,0.2067,0.3384,0.0894,Europe,Western Europe,Portugal,2010
2015,PT,0.2105,0.3339,0.0869,Europe,Western Europe,Portugal,2010
2016,PT,0.2152,0.3345,0.0876,Europe,Western Europe,Portugal,2010
2017,PT,0.2171,0.3358,0.0906,Europe,Western Europe,Portugal,2010
2018,PT,0.2248,0.324,0.085,Europe,Western Europe,Portugal,2010
2019,PT,0.2259,0.3184,0.083,Europe,Western Europe,Portugal,2010
2020,PT,0.2298,0.3077,0.0736,Europe,Western Europe,Portugal,2020
2021,PT,0.2284,0.3124,0.0777,Europe,Western Europe,Portugal,2020
1989,RO,0.2723,0.2036,0.0266,Europe,Eastern Europe,Romania,1980
1990,RO,0.2819,0.2428,0.0358,Europe,Eastern Europe,Romania,1990
1991,RO,0.2602,0.2292,0.0318,Europe,Eastern Europe,Romania,1990
1992,RO,0.2447,0.192,0.0254,Europe,Eastern Europe,Romania,1990
1993,RO,0.2377,0.2367,0.0333,Europe,Eastern Europe,Romania,1990
1994,RO,0.2379,0.276,0.0404,Europe,Eastern Europe,Romania,1990
1995,RO,0.1739,0.2871,0.0415,Europe,Eastern Europe,Romania,1990
1996,RO,0.1635,0.2377,0.0318,Europe,Eastern Europe,Romania,1990
1997,RO,0.1861,0.3313,0.0525,Europe,Eastern Europe,Romania,1990
1998,RO,0.161,0.2526,0.0353,Europe,Eastern Europe,Romania,1990
1999,RO,0.1647,0.22,0.0337,Europe,Eastern Europe,Romania,1990
2000,RO,0.1662,0.2147,0.0316,Europe,Eastern Europe,Romania,2000
2001,RO,0.1656,0.253,0.0341,Europe,Eastern Europe,Romania,2000
2002,RO,0.153,0.2566,0.043,Europe,Eastern Europe,Romania,2000
2003,RO,0.1491,0.2541,0.0567,Europe,Eastern Europe,Romania,2000
2004,RO,0.1311,0.2636,0.0448,Europe,Eastern Europe,Romania,2000
2005,RO,0.1454,0.2383,0.0439,Europe,Eastern Europe,Romania,2000
2006,RO,0.1347,0.2802,0.0548,Europe,Eastern Europe,Romania,2000
2007,RO,0.1278,0.3512,0.0883,Europe,Eastern Europe,Romania,2000
2008,RO,0.1305,0.3673,0.1027,Europe,Eastern Europe,Romania,2000
2009,RO,0.137,0.3775,0.1172,Europe,Eastern Europe,Romania,2000
2010,RO,0.1573,0.3302,0.0778,Europe,Eastern Europe,Romania,2010
2011,RO,0.1613,0.3401,0.0816,Europe,Eastern Europe,Romania,2010
