year,country,npopuli999,rcaincj992,rdiincj992,rhwealj992,rptincj992,gcaincj992,gdiincj992,ghwealj992,gptincj992
2006,BA,4058086,7.80466032028198,7.94373369216919,54.8310012817383,9.40082168579102,0.445150441336658,0.443926449249663,0.722325051279029,0.480978897670422
2007,BA,4007876,7.85249328613281,7.8585991859436,54.6707077026367,9.42081356048584,0.446135254876142,0.441403660865721,0.721770562566931,0.480849990345019
2008,BA,3943392,7.82769203186035,8.07855796813965,55.2211265563965,9.7225399017334,0.445217722630946,0.44639759878053,0.723146791270622,0.486301097894829
2009,BA,3877750,7.79884767532349,7.72044229507446,55.1907577514648,9.61782741546631,0.444371339657876,0.43752551628091,0.72311916246845,0.484464590634248
2010,BA,3811088,7.82227182388306,7.69125461578369,55.1797218322754,9.66949081420898,0.444936311520677,0.436485423036885,0.72311916246845,0.485491930915915
2011,BA,3743142,7.86005830764771,7.76454448699951,55.2431602478027,9.77947902679443,0.445600223370871,0.438025585617925,0.723146791270622,0.487479592974051
2012,BA,3674374,7.82705736160278,7.62397146224976,54.8993034362793,9.70136070251465,0.444694241154196,0.434316812310305,0.722437575536446,0.486059893974478
2013,BA,3617559,7.88673448562622,7.54087066650391,54.7840728759766,9.51281642913818,0.4464979061469,0.432616050725107,0.722128836764284,0.483107488287404
2014,BA,3571068,7.86030054092407,7.50601482391357,54.6911125183105,9.49861431121826,0.445973956711597,0.431532468732616,0.721872526245605,0.482817157349585
2015,BA,3524324,7.7952733039856,7.60949277877808,54.8362121582031,9.51877117156982,0.443762685482033,0.434215782655196,0.722325051279029,0.483055145704139
2016,BA,3480986,7.73716592788696,7.54250383377075,54.8440971374512,9.48598003387451,0.442332692036901,0.432474986823127,0.722379354524207,0.482433750186502
2017,BA,3440027,7.79698181152344,7.64500331878662,54.901985168457,9.59425449371338,0.44364970644883,0.435144267386409,0.722437575536446,0.484422160321476
2018,BA,3400129,7.75072050094604,7.61831903457642,54.9099159240723,9.51992511749268,0.442697856136652,0.434649523344771,0.722437575536446,0.483072477087406
2019,BA,3360711,7.66395998001099,7.52219867706299,54.9444274902344,9.3726749420166,0.440734644492995,0.432385856120748,0.722642367781759,0.480356215930209
2020,BA,3318407,7.6562237739563,7.43193960189819,54.9470558166504,9.30485725402832,0.440670830778551,0.429625112360553,0.722642367781759,0.479097468958558
2021,BA,3270943,7.65985202789307,7.43963003158569,54.9497489929199,9.31525039672852,0.440705461861207,0.429794015071527,0.722642367781759,0.479286717171945
2022,BA,3233526,NaN,7.43963003158569,NaN,9.31525039672852,NaN,0.429794042836582,0.723053823580244,0.479286717171945
1980,BB,253575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,BB,254684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,BB,255642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,BB,256505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,BB,257279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,BB,257911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,BB,258370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,BB,258654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,BB,258762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989,BB,258759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990,BB,258868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,BB,259402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,BB,260212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,BB,260995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994,BB,261712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995,BB,262303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996,BB,262793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,BB,263224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,BB,263642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,BB,264170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,BB,264657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,BB,265377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,BB,266455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,BB,267499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,BB,268505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,BB,269477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,BB,270425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,BB,271444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,BB,272635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,BB,273791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,BB,274711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,BB,275486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,BB,276197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,BB,276865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,BB,277493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,BB,278083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,BB,278649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,BB,279187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,BB,279688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,BB,280180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,BB,280693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,BB,281200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,BB,281635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,BD,83929768,NaN,8.82001972198486,NaN,9.14248371124268,NaN,0.465559482729702,NaN,0.473169555511761
1981,BD,86154832,NaN,8.81465435028076,NaN,9.14248371124268,NaN,0.465470035931997,NaN,0.473169555511761
1982,BD,88555336,NaN,8.79404926300049,NaN,9.14248371124268,NaN,0.464844518853594,NaN,0.473169555511761
1983,BD,91045480,NaN,8.77049732208252,NaN,9.14248371124268,NaN,0.464578776711212,NaN,0.473169555511761
1984,BD,93534240,NaN,9.56873798370361,NaN,9.69353485107422,NaN,0.480773174141833,NaN,0.483575601923706
1985,BD,95959096,NaN,9.51532554626465,NaN,10.2521591186523,NaN,0.476998044071253,NaN,0.49359944837294
1986,BD,98271744,NaN,10.194242477417,NaN,10.55885887146,NaN,0.491775753557569,NaN,0.499365919741521
1987,BD,100490256,NaN,10.2244720458984,NaN,10.8671560287476,NaN,0.491929783725244,NaN,0.504988820322147
1988,BD,102688832,NaN,10.4632320404053,NaN,11.1770582199097,NaN,0.49614168637984,NaN,0.510473401934828
1989,BD,104893672,NaN,10.0541162490845,NaN,10.8409442901611,NaN,0.487714772790167,NaN,0.504322888801205
1990,BD,107147648,NaN,9.92134380340576,NaN,10.5224237442017,NaN,0.485482378118586,NaN,0.498337795761408
1991,BD,109242832,NaN,8.84469509124756,NaN,10.2201528549194,NaN,0.459535717326267,NaN,0.492511496587884
1992,BD,111272104,NaN,10.5295429229736,NaN,11.1247758865356,NaN,0.496988611961644,NaN,0.508704541953637
1993,BD,113418760,NaN,11.3173847198486,NaN,12.0244607925415,NaN,0.510931161681921,NaN,0.523606598276587
1994,BD,115614888,NaN,12.1485090255737,NaN,12.9192504882812,NaN,0.524737503773203,NaN,0.537366072438896
1995,BD,117793336,NaN,13.0255632400513,63.0660438537598,13.809178352356,NaN,0.538285219962173,0.741576410483304,0.550109571071747
1996,BD,119876864,NaN,13.1596612930298,63.0022811889648,13.8280019760132,NaN,0.540295095875695,0.741523260414283,0.550245008758679
1997,BD,122039224,NaN,13.2200593948364,62.683235168457,13.8674898147583,NaN,0.541102100320057,0.740695382225411,0.55065568399873
1998,BD,124350472,NaN,13.2167510986328,62.5844535827637,13.8546772003174,NaN,0.54100901163158,0.74055428088765,0.550382977956694
1999,BD,126754824,NaN,13.3434629440308,62.4719772338867,13.9894323348999,NaN,0.542720211915395,0.740218384596901,0.552035069929456
2000,BD,129193328,NaN,13.3335218429565,62.4199371337891,14.0342063903809,NaN,0.542489287791977,0.740196350880908,0.552512081221309
2001,BD,131670480,NaN,13.5420722961426,62.5168533325195,14.0962648391724,NaN,0.545335105766977,0.740371961819449,0.553198231145458
2002,BD,134139824,NaN,13.7943658828735,62.7754058837891,14.3861360549927,NaN,0.548635699705738,0.74096123249582,0.556744122031425
2003,BD,136503200,NaN,14.1585340499878,63.1139450073242,14.7839336395264,NaN,0.553283642639553,0.741611991579205,0.561490510320816
2004,BD,138789728,NaN,14.1739158630371,63.1866836547852,14.8501234054565,NaN,0.553329398470275,0.741539171830865,0.562192584661311
2005,BD,140912592,NaN,14.4575643539429,63.4661674499512,14.9999589920044,NaN,0.556971844215479,0.742390847894058,0.563876718335109
2006,BD,142628832,NaN,14.1620903015137,62.7677116394043,14.7629499435425,NaN,0.553238743702789,0.74096123249582,0.561079723535315
2007,BD,144135936,NaN,13.9899168014526,62.3610305786133,14.637128829956,NaN,0.55107075152733,0.740042481058467,0.559581823873874
2008,BD,145421312,NaN,13.1219177246094,61.8962440490723,13.8203125,NaN,0.539327754300853,0.739239740069095,0.549354565766482
2009,BD,146706816,NaN,12.7397975921631,61.4432716369629,13.4438886642456,NaN,0.533849930339002,0.738040178545404,0.544388300261367
2010,BD,148391136,NaN,12.3850326538086,61.1717834472656,13.5826959609985,NaN,0.527858931275539,0.737299030760568,0.546303962708407
2011,BD,150211008,NaN,12.0675277709961,61.0708351135254,13.2430038452148,NaN,0.523032574424761,0.737084589823482,0.541762686469301
2012,BD,152090656,NaN,11.9637060165405,61.0583229064941,13.1270027160644,NaN,0.52149227478667,0.737084589823482,0.540212482089707
2013,BD,154030144,NaN,11.8362464904785,61.0395698547363,12.9912271499634,NaN,0.519548682287454,0.73703208026042,0.538356034121264
2014,BD,155961296,NaN,11.6457786560059,60.9711799621582,12.7821016311646,NaN,0.516448810030877,0.736982521047068,0.535407612030198
2015,BD,157830000,NaN,11.448974609375,60.9340782165527,12.476863861084,NaN,0.513317699746857,0.736930315685086,0.530953664996893
2016,BD,159784576,NaN,11.4177255630493,60.884952545166,12.3998861312866,NaN,0.512822918399582,0.736826595844406,0.529837369754631
2017,BD,161793968,NaN,11.4191827774048,60.8910026550293,12.4112234115601,NaN,0.51282981688264,0.736817270714965,0.530008606871121
2018,BD,163683952,NaN,11.4303407669067,60.8972015380859,12.4112272262573,NaN,0.513108843648826,0.736843450407406,0.530008579805752
2019,BD,165516224,NaN,11.446478843689,60.9033317565918,12.4112281799316,NaN,0.513420127151694,0.736869772841047,0.530008694714041
2020,BD,167420944,NaN,11.4104566574097,60.9093894958496,12.4112272262573,NaN,0.512586181690214,0.736869772841047,0.530008555242119
2021,BD,169356256,NaN,8.42519664764404,60.9155921936035,9.14248371124268,NaN,0.455065881905602,0.736904691225746,0.473169555511761
2022,BD,171186368,NaN,8.42519664764404,NaN,9.14248371124268,NaN,0.455065880741449,0.737462848206178,0.473169555511761
1980,BE,9828986,5.3518238067627,3.62273263931274,NaN,7.03622674942017,0.372898189014093,0.263782011637626,NaN,0.423229076639561
1981,BE,9843592,5.21484470367432,3.5142936706543,NaN,6.94231224060059,0.367181430903004,0.255843443769596,NaN,0.420100945605485
1982,BE,9857343,4.95982027053833,3.37966465950012,NaN,6.74933433532715,0.355040371449256,0.249314309757838,NaN,0.415273467140136
1983,BE,9866532,4.87275695800781,3.39137935638428,NaN,6.70813322067261,0.355454295771377,0.250765666712537,NaN,0.415158235500249
1984,BE,9873600,4.78197002410889,3.44477462768555,NaN,6.72350120544434,0.352319317449893,0.255337940468818,NaN,0.416234649042613
1985,BE,9880534,4.84130382537842,3.67098903656006,NaN,7.19743585586548,0.351326519678547,0.267666950742788,NaN,0.429444208543287
1986,BE,9887815,5.04065179824829,3.83124279975891,NaN,7.55289363861084,0.360589858814877,0.27624777959471,NaN,0.438027232036788
1987,BE,9900221,5.31989336013794,3.93113017082214,NaN,7.6170711517334,0.368987186254384,0.280926949122408,NaN,0.438300294795361
1988,BE,9917995,5.45049619674683,4.23104953765869,NaN,8.06554412841797,0.370273968615287,0.29904184435105,NaN,0.450210850569308
1989,BE,9937170,5.98465633392334,4.45686340332031,NaN,8.19397640228271,0.392306506023306,0.309595608096381,NaN,0.452601483059867
1990,BE,9959560,5.46896648406982,4.28350734710693,NaN,7.93610525131226,0.376185284051089,0.303680203599487,NaN,0.447790347501508
1991,BE,9987070,5.21109533309937,4.13625288009644,NaN,7.67161178588867,0.368910209885156,0.297361813708242,NaN,0.441804859949063
1992,BE,10016455,5.37269020080566,4.11702394485474,NaN,7.59052038192749,0.374493672940724,0.296924759513485,NaN,0.440195248554669
1993,BE,10043738,5.35770416259766,4.0755558013916,NaN,7.68642807006836,0.37544028711067,0.294786420083326,NaN,0.442370618207938
1994,BE,10069182,5.51963138580322,4.22266626358032,NaN,7.87111711502075,0.381198983066077,0.300076478023118,NaN,0.445794031426419
1995,BE,10095198,5.39000177383423,4.09643077850342,32.762077331543,7.81096506118774,0.373735785585806,0.295232439946888,0.672550187001903,0.444432723196463
1996,BE,10123229,5.47006034851074,4.07607078552246,32.8497924804688,7.96759366989136,0.376857440467409,0.29415909933854,0.672758205267325,0.448056848899925
1997,BE,10154872,5.48386383056641,4.14579916000366,32.8172149658203,8.01638317108154,0.373874964657459,0.296847244033277,0.672857219588527,0.447875085975689
1998,BE,10188538,5.80821704864502,4.15644979476929,32.771240234375,8.089111328125,0.38683018504488,0.299006566685626,0.672642369751362,0.450675550240518
1999,BE,10224220,5.68921756744385,4.25126028060913,32.876350402832,8.2116813659668,0.383609837383278,0.303986871006128,0.673190806464172,0.453395831602878
2000,BE,10264343,5.84523057937622,4.32189798355103,32.7405204772949,8.14960861206055,0.389392084180101,0.308558322626477,0.672653915368299,0.452881797035274
2001,BE,10309255,5.57649898529053,4.17403364181519,32.6664543151855,7.92981243133545,0.380524402433807,0.300464767336563,0.672519744410852,0.447294941049647
2002,BE,10355568,5.72535610198975,4.07197093963623,32.6025352478027,7.70284557342529,0.3850713346272,0.295728688877424,0.672076281505523,0.44215990517999
2003,BE,10402550,5.55421829223633,4.06979370117188,32.6092414855957,7.82982921600342,0.381451078270087,0.296004883619584,0.672060268282301,0.444990498129007
2004,BE,10456163,5.81446504592896,4.12192916870117,32.7612571716309,8.01923561096191,0.385595179143282,0.297691493406657,0.672554202657228,0.44813868098165
2005,BE,10516978,5.76023006439209,4.49359607696533,32.7318534851074,9.14005756378174,0.38266145796969,0.326970365357796,0.672435639128134,0.476543917500969
2006,BE,10582975,5.87828016281128,4.28201532363892,32.9579772949219,8.5715217590332,0.384809363169742,0.311487173669326,0.673444145546927,0.463258237398547
2007,BE,10653697,6.13429355621338,4.16270589828491,33.1258316040039,7.96739292144775,0.390137839115705,0.296543632109049,0.674449831012957,0.44590660678413
2008,BE,10726716,5.3559045791626,3.87444615364075,32.8711242675781,7.4292573928833,0.364796071484885,0.282278359286755,0.673088028605804,0.433179864107606
2009,BE,10801356,5.77802991867065,3.73612761497498,32.5487289428711,7.09059143066406,0.382109943531209,0.274429214076275,0.672226191939647,0.424898468198844
2010,BE,10877947,5.46071434020996,3.87373018264771,32.8234481811523,7.57198810577393,0.37327740142177,0.284534070166896,0.672735673281377,0.438722653639667
2011,BE,10955743,5.44208765029907,3.68310236930847,33.0478134155273,7.25284624099731,0.372035457471304,0.271852752410044,0.672441674710875,0.429923163159789
2012,BE,11031139,5.40071058273315,3.66614866256714,31.0507907867432,7.24429273605347,0.370335547181659,0.270344925419216,0.663338553347486,0.428780381027003
2013,BE,11103257,5.37122774124146,3.66617512702942,30.2440128326416,7.41016292572021,0.370417045657979,0.270542496546434,0.659165657556535,0.43326199930111
2014,BE,11176723,5.39288663864136,3.7458553314209,31.3051128387451,7.49821758270264,0.369818159278586,0.27410873811617,0.663271955387771,0.435556926229948
2015,BE,11248303,5.63267469406128,3.82157349586487,32.6357078552246,7.53604555130005,0.37938150115329,0.278998985423433,0.667971599316697,0.437059494397655
2016,BE,11316836,5.6145429611206,3.81869459152222,33.638500213623,7.56194019317627,0.37880500455264,0.277234553041858,0.669659062314796,0.437394431420992
2017,BE,11384489,5.4797043800354,3.72432041168213,34.8829727172852,7.43872404098511,0.374861906539662,0.273094566050706,0.672242360804198,0.43432034302546
2018,BE,11448595,5.18753004074097,3.91006779670715,34.8807525634766,7.94938707351685,0.360899922587238,0.282497749426634,0.673245905181243,0.447232660064877
2019,BE,11510568,5.30429744720459,3.99949765205383,34.9832305908203,8.19659328460693,0.364680767234731,0.285843090710012,0.673808850449042,0.452341821638194
2020,BE,11561717,5.24404382705688,3.56266832351685,34.8611640930176,7.35129642486572,0.362659003459186,0.259677001692831,0.673318013244884,0.43242037571127
2021,BE,11611419,5.24872779846191,3.16740775108337,34.9935493469238,6.50284147262573,0.362817764477902,0.238695182201199,0.673916168408802,0.41000154874804
2022,BE,11655930,NaN,3.15491056442261,NaN,6.47673654556274,NaN,0.237979300478066,0.67387860618927,0.409303868761733
1980,BF,6932967,NaN,26.4139099121094,NaN,28.7239894866943,NaN,0.661235784775457,NaN,0.673296709265735
1981,BF,7123730,NaN,26.530065536499,NaN,28.7239894866943,NaN,0.661885369629566,NaN,0.673296697857033
1982,BF,7321817,NaN,26.6184921264648,NaN,28.7239894866943,NaN,0.662430023495133,NaN,0.673296705307614
1983,BF,7531184,NaN,26.6675853729248,NaN,28.7239894866943,NaN,0.66275017184865,NaN,0.67329667154717
1984,BF,7751476,NaN,26.7293109893799,NaN,28.7239894866943,NaN,0.663143910690913,NaN,0.673296705307614
1985,BF,7979185,NaN,26.7998943328857,NaN,28.7239723205566,NaN,0.66357788018437,NaN,0.673296626494441
1986,BF,8207827,NaN,26.2509307861328,NaN,28.7239856719971,NaN,0.660448349249059,NaN,0.67329656693618
1987,BF,8434996,NaN,25.7290096282959,NaN,28.7239723205566,NaN,0.657179350892505,NaN,0.673296619742352
1988,BF,8663720,NaN,26.1171245574951,NaN,28.7239856719971,NaN,0.659619099345704,NaN,0.673296565539196
1989,BF,8895234,NaN,26.5595893859863,NaN,28.7239894866943,NaN,0.66213170005534,NaN,0.673296734906209
1990,BF,9131361,NaN,26.875036239624,NaN,28.7239723205566,NaN,0.663877758166365,NaN,0.673296629521239
1991,BF,9365064,NaN,26.6649932861328,NaN,28.7239856719971,NaN,0.662525755320381,NaN,0.673296580906019
1992,BF,9598555,NaN,26.7290477752686,NaN,28.7239723205566,NaN,0.66287230523114,NaN,0.673296629521239
1993,BF,9840075,NaN,26.5648403167725,NaN,28.7239894866943,NaN,0.661827941723473,NaN,0.673296740319522
1994,BF,10091256,NaN,26.4643306732178,NaN,28.7239894866943,NaN,0.661249099465799,NaN,0.673296742182167
1995,BF,10353263,NaN,26.912841796875,-1122.4521484375,29.4955139160156,NaN,0.665495853755729,0.893206404366282,0.679058519473685
1996,BF,10621210,NaN,27.4406242370606,-718.614929199219,30.2804851531982,NaN,0.670192657448297,0.898913749755621,0.684816162546369
1997,BF,10897353,NaN,28.136510848999,-520.107971191406,31.0792713165283,NaN,0.675765690638976,0.904412513080075,0.690569311841244
1998,BF,11201063,NaN,28.9401340484619,-440.382904052734,31.8921775817871,NaN,0.681870794281878,0.908083547563734,0.696317859748362
1999,BF,11533554,NaN,26.6943206787109,-735.227905273438,29.4564323425293,NaN,0.666322984861125,0.898727242671299,0.681426445008043
2000,BF,11882888,NaN,24.9300518035889,-9235.7021484375,27.222053527832,NaN,0.652787372604671,0.885248220815754,0.666525138907986
2001,BF,12249764,NaN,23.3070812225342,500.243988037109,25.1650676727295,NaN,0.639592926791941,0.864236051000148,0.651614130733485
2002,BF,12632269,NaN,21.5554943084717,203.610733032227,23.265157699585,NaN,0.624573086757792,0.835998320708001,0.63669385028691
2003,BF,13030591,NaN,20.0482082366943,105.788459777832,21.5050144195557,NaN,0.610486648806017,0.794401633134555,0.62176461942024
2004,BF,13445977,NaN,19.0734615325928,102.466690063477,20.9935855865479,NaN,0.602777268840935,0.791788189212298,0.618428951022331
2005,BF,13876127,NaN,18.9253616333008,99.3011627197266,20.5013217926025,NaN,0.601768139978685,0.78937100417275,0.615090273306397
2006,BF,14316242,NaN,18.3549213409424,94.4498519897461,20.0271511077881,NaN,0.597009697188732,0.785019695039239,0.611748525917697
2007,BF,14757074,NaN,17.8970508575439,92.0422897338867,19.5701084136963,NaN,0.593034821919005,0.782486943183898,0.608403766272605
2008,BF,15197915,NaN,17.6132011413574,89.4716415405273,19.1292724609375,NaN,0.590806341969277,0.780042123495889,0.605055873738408
2009,BF,15650022,NaN,17.0761890411377,88.1688766479492,18.7037868499756,NaN,0.585757155968896,0.778561612344788,0.601704858867588
2010,BF,16116845,NaN,16.7011547088623,82.3526153564453,18.0494499206543,NaN,0.581916547186992,0.77114100191605,0.595672049760708
2011,BF,16602651,NaN,15.9431123733521,75.2197875976562,17.4249267578125,NaN,0.573501986643745,0.762062523877347,0.589627267492148
2012,BF,17113732,NaN,15.4384460449219,71.0975341796875,16.8282489776611,NaN,0.567673156063394,0.756408960982867,0.583570660110702
2013,BF,17636408,NaN,14.6259918212891,68.9960098266602,16.257568359375,NaN,0.557720539541922,0.752623894090078,0.57750199802323
2014,BF,18169842,NaN,14.2295150756836,67.4629135131836,15.7112321853638,NaN,0.55275169697709,0.749681529938158,0.571421393035655
2015,BF,18718020,NaN,16.1198253631592,67.4006958007812,17.7335891723633,NaN,0.575201857218978,0.749590892684097,0.59232728303002
2016,BF,19275498,NaN,17.4001998901367,67.4753723144531,20.1215057373047,NaN,0.588304833695398,0.749756022241542,0.613154602103968
2017,BF,19835858,NaN,19.581974029541,67.487922668457,22.9839744567871,NaN,0.608123247003165,0.749756022241542,0.633903874668869
2018,BF,20392724,NaN,22.0237274169922,67.4130325317383,26.4780387878418,NaN,0.626626619065902,0.749614625316013,0.654575405898521
2019,BF,20951640,NaN,21.5255661010742,67.4255599975586,26.4780387878418,NaN,0.622905549436098,0.749614625316013,0.654575418238545
2020,BF,21522626,NaN,21.3090438842773,67.4379119873047,26.4780540466309,NaN,0.620942837852706,0.749614625316013,0.654575439367926
2021,BF,22100684,NaN,21.3082790374756,67.4504623413086,26.4780387878418,NaN,0.620936000628316,0.749681529938158,0.654575405898521
2022,BF,22673762,NaN,21.3082790374756,NaN,26.4780387878418,NaN,0.620936071714421,0.750252384034781,0.654575405898521
1980,BG,8980606,3.28657841682434,3.41991138458252,NaN,4.00969505310059,0.275396284339776,0.298360177004876,NaN,0.332959336067865
1981,BG,8978412,3.27337980270386,3.40710663795471,NaN,3.97937393188477,0.27177848914304,0.294988430029086,NaN,0.329028492207406
1982,BG,8970485,3.84752202033997,4.05127382278442,NaN,4.77395963668823,0.294367648415259,0.318691490167664,NaN,0.354440408405694
1983,BG,8956433,3.79752945899963,3.86949920654297,NaN,4.53682851791382,0.29429339916598,0.309153631288328,NaN,0.344398709317803
1984,BG,8939490,3.64430618286133,3.83521866798401,NaN,4.50224733352661,0.283546308972026,0.308562933218776,NaN,0.343664720402278
1985,BG,8917076,3.34810638427734,3.53612065315247,NaN,4.13802814483643,0.27017128092132,0.297451776231162,NaN,0.331835740824494
1986,BG,8892100,2.95640182495117,3.26075053215027,NaN,3.8018581867218,0.24159000946649,0.286882448072383,NaN,0.320503452101404
1987,BG,8865755,2.57846593856811,2.74988603591919,NaN,3.17712020874023,0.228264873797131,0.265153486569824,NaN,0.296926159284116
1988,BG,8835815,2.59886193275452,2.67476558685303,NaN,3.08268904685974,0.239613213212274,0.263642023229731,NaN,0.294831898328447
1989,BG,8804430,3.35404825210571,3.53441715240479,NaN,4.13432884216309,0.266379656828687,0.294326395665001,NaN,0.328985636635835
1990,BG,8767778,3.92601203918457,4.14244699478149,NaN,4.9189715385437,0.297017723455858,0.321827119675803,NaN,0.359969202118414
1991,BG,8721660,4.90176391601562,5.02452087402344,NaN,6.1533989906311,0.342599521703748,0.355077349904199,NaN,0.399626693484279
1992,BG,8668540,5.78741121292114,6.09462690353394,NaN,7.58885478973389,0.374158651269482,0.390846336753574,NaN,0.437962803450876
1993,BG,8611535,6.60986709594727,6.53306484222412,NaN,8.15522766113281,0.405181753527884,0.404857170882309,NaN,0.451977328266764
1994,BG,8548466,8.12768363952637,8.26637172698975,NaN,10.4984846115112,0.443990445832203,0.448663868117343,NaN,0.497425843687292
1995,BG,8477579,8.74862766265869,9.4663257598877,58.2740936279297,11.3936767578125,0.457974168379792,0.475361099647625,0.730686248108739,0.512761937756729
1996,BG,8401376,7.70839023590088,8.63485336303711,57.3946533203125,10.4708766937256,0.432188515515481,0.457615260385872,0.728612756875677,0.496559070080192
1997,BG,8318966,7.41382503509521,8.05528736114502,56.9753952026367,10.2310237884522,0.424566056788322,0.444613376520968,0.727131817375849,0.492374337433521
1998,BG,8234927,6.79725646972656,7.53669023513794,55.9436225891113,9.24846363067627,0.40909158279597,0.432050665126443,0.724853364446943,0.474029967446931
1999,BG,8162301,6.45752429962158,6.84022045135498,55.0489158630371,9.10845375061035,0.398769924850559,0.409806332654517,0.722826640712597,0.469961410959428
2000,BG,8097691,6.43860769271851,6.79458475112915,54.7918586730957,8.67181873321533,0.400362928547175,0.410170601761374,0.722128836764284,0.461311042098602
2001,BG,8034860,7.07985210418701,7.36730432510376,55.3551368713379,9.20354843139648,0.418440239674432,0.42582742812785,0.723305534275553,0.472303965514424
2002,BG,7974810,8.19417476654053,7.89987468719482,57.2891540527344,10.047776222229,0.447183915070344,0.439669642466924,0.728270918559033,0.489708378897845
2003,BG,7917739,7.46265506744385,7.13040733337402,57.043529510498,9.43046760559082,0.430628960085336,0.418682497413208,0.727344994286113,0.477210914088586
2004,BG,7865316,7.47584104537964,7.04302787780762,57.0148162841797,9.23673820495605,0.430732570784183,0.417008421257551,0.727238869399415,0.474169293567975
2005,BG,7815221,7.89542531967163,7.29336595535278,56.9540481567383,9.4672269821167,0.443094639963302,0.424541696054156,0.72704692430149,0.478960227690958
2006,BG,7766036,8.3673210144043,7.6797194480896,56.3549537658691,9.70624923706055,0.457923965195913,0.437428053606553,0.726025416268271,0.485128232824845
2007,BG,7719035,7.34643983840942,7.07008695602417,55.491886138916,9.09207153320312,0.432153246025836,0.420405588033106,0.724064896408535,0.472867898687554
2008,BG,7674913,7.06902027130127,6.83211135864258,55.1769065856934,8.7105188369751,0.421741402590421,0.413626280192732,0.72311916246845,0.464562825380234
2009,BG,7634735,7.48282289505005,7.16171169281006,56.216194152832,9.00468635559082,0.430553343796909,0.420646767800434,0.725515995880386,0.470178776164793
2010,BG,7592273,7.66288900375366,7.19119453430176,56.1556282043457,9.07285976409912,0.436436829926766,0.42142791295332,0.725454088154351,0.471711965556104
2011,BG,7543130,7.77379465103149,7.28485155105591,56.2097778320312,9.12272262573242,0.438792753717479,0.42380299976243,0.725515995880386,0.472339204305911
2012,BG,7488344,8.74395084381104,8.07271671295166,57.1671104431152,10.2072257995606,0.46122429306692,0.443648822499213,0.727844996713259,0.493199262990451
2013,BG,7431167,7.84963846206665,7.22752904891968,56.5366325378418,9.18374061584473,0.440428279087719,0.421614498204029,0.726254416092146,0.47355322226133
2014,BG,7372141,8.62308406829834,7.7791748046875,57.3341979980469,10.3493785858154,0.457260842954053,0.434793487752891,0.728450634754822,0.495199793878669
