year,country,p0p1,p0p10,p0p50,p90p100,p999p100,p99p100
1980,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1981,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1982,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1983,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1984,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1985,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1986,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1987,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1988,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1989,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1990,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1991,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1992,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1993,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1994,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1995,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1996,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1997,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1998,AE,0,0.0016,0.0997,0.5419,0.0529,0.1904
1999,AE,0,0.0016,0.0992,0.5428,0.0525,0.1896
2000,AE,0,0.0016,0.0986,0.5438,0.0519,0.1887
2001,AE,0,0.0016,0.098,0.5449,0.0513,0.1877
2002,AE,0,0.0016,0.0973,0.5461,0.0506,0.1866
2003,AE,0,0.0016,0.0966,0.5475,0.0499,0.1854
2004,AE,0,0.0016,0.0957,0.549,0.049,0.1839
2005,AE,0,0.0016,0.0947,0.5508,0.048,0.1823
2006,AE,0,0.0016,0.0935,0.5529,0.0469,0.1803
2007,AE,0,0.0016,0.0921,0.5554,0.0455,0.1781
2008,AE,0,0.0016,0.0905,0.5584,0.0439,0.1754
2009,AE,0,0.0016,0.0884,0.5619,0.0419,0.1721
2010,AE,0,0.0015,0.0944,0.5416,0.0423,0.1689
2011,AE,0,0.0014,0.1002,0.5219,0.0426,0.1657
2012,AE,0,0.0014,0.1059,0.5026,0.0429,0.1626
2013,AE,0,0.0013,0.1114,0.4838,0.0432,0.1596
2014,AE,0,0.0013,0.1096,0.4858,0.0456,0.163
2015,AE,0,0.0015,0.1144,0.4837,0.0447,0.1604
2016,AE,0,0.0016,0.1191,0.4817,0.0439,0.1579
2017,AE,0,0.0018,0.1237,0.4797,0.0431,0.1555
2018,AE,0,0.0019,0.1281,0.4778,0.0423,0.1531
2019,AE,0,0.0019,0.1281,0.4778,0.0423,0.1531
2020,AE,0,0.0019,0.1281,0.4778,0.0423,0.1531
2021,AE,0,0.0019,0.1281,0.4778,0.0423,0.1531
2022,AE,0,0.0019,0.1281,0.4778,0.0423,0.1531
1980,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1981,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1982,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1983,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1984,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1985,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1986,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1987,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1988,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1989,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1990,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1991,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1992,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1993,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1994,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1995,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1996,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1997,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1998,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1999,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2000,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2001,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2002,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2003,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2004,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2005,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2006,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2007,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2008,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2009,AF,0,0.003,0.1785,0.4081,0.0525,0.1536
2010,AF,0,0.003,0.1792,0.4044,0.0517,0.1511
2011,AF,0,0.0031,0.186,0.3942,0.0478,0.1432
2012,AF,0,0.0032,0.19,0.3876,0.0454,0.1382
2013,AF,0,0.0032,0.1873,0.3923,0.0465,0.1409
2014,AF,0,0.0032,0.1855,0.3961,0.0471,0.1429
2015,AF,0,0.0032,0.1848,0.3987,0.0472,0.1438
2016,AF,0,0.0031,0.1816,0.4041,0.0486,0.1471
2017,AF,0,0.0031,0.1779,0.4101,0.0502,0.1508
2018,AF,0,0.0031,0.1779,0.4101,0.0502,0.1508
2019,AF,0,0.0031,0.1779,0.4101,0.0502,0.1508
2020,AF,0,0.0031,0.1779,0.4101,0.0502,0.1508
2021,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
2022,AF,0,0.0029,0.1717,0.4194,0.0566,0.1622
1980,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1981,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1982,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1983,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1984,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1985,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1986,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1987,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1988,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1989,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1990,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1991,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1992,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1993,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1994,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1995,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1996,AL,0,0.0014,0.188,0.3257,0.0204,0.0814
1997,AL,0,0.0014,0.1852,0.3298,0.0214,0.084
1998,AL,0,0.0014,0.1855,0.3317,0.0218,0.0851
1999,AL,0,0.0013,0.1837,0.3319,0.0218,0.085
2000,AL,0,0.0014,0.1838,0.3295,0.0211,0.0834
2001,AL,0,0.0014,0.1818,0.3327,0.0214,0.0845
2002,AL,0,0.0015,0.1796,0.3364,0.0221,0.0863
2003,AL,0,0.0015,0.1807,0.3373,0.0227,0.0875
2004,AL,0,0.0015,0.1827,0.3338,0.022,0.0857
2005,AL,0,0.0027,0.1881,0.317,0.0204,0.0804
2006,AL,0,0.0027,0.1888,0.3161,0.0199,0.0794
2007,AL,0,0.0027,0.1908,0.3114,0.0185,0.0758
2008,AL,0,0.0027,0.1887,0.3181,0.0208,0.0814
2009,AL,0,0.0027,0.1905,0.3178,0.0209,0.0816
2010,AL,0,0.0027,0.1896,0.3184,0.0208,0.0814
2011,AL,0,0.0029,0.1994,0.2917,0.0138,0.0634
2012,AL,0,0.0027,0.188,0.3216,0.0226,0.0852
2013,AL,0,0.0026,0.1849,0.3185,0.0207,0.0813
2014,AL,0,0.0025,0.1819,0.3238,0.0218,0.0841
2015,AL,0,0.0025,0.1812,0.3282,0.0236,0.0881
2016,AL,0,0.0022,0.171,0.3392,0.0238,0.0898
2017,AL,0,0.0023,0.1736,0.3354,0.0229,0.0876
2018,AL,0,0.0024,0.1772,0.3289,0.0214,0.0838
2019,AL,0,0.0026,0.1843,0.3206,0.0214,0.0828
2020,AL,0,0.0026,0.1856,0.3168,0.0202,0.08
2021,AL,0,0.0026,0.1844,0.3204,0.0213,0.0827
2022,AL,0,0.0026,0.184,0.3214,0.0216,0.0833
1980,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1981,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1982,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1983,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1984,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1985,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1986,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1987,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1988,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1989,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1990,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1991,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1992,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1993,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1994,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1995,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1996,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1997,AM,0,0.0023,0.1423,0.4587,0.0683,0.1844
1998,AM,0,0.0026,0.1512,0.4485,0.0649,0.1777
1999,AM,0,0.0027,0.1568,0.4417,0.0631,0.1739
2000,AM,0,0.0029,0.1648,0.4309,0.0542,0.1589
2001,AM,0,0.003,0.1702,0.4231,0.0472,0.1471
2002,AM,0,0.0029,0.1684,0.4291,0.0548,0.1601
2003,AM,0,0.0031,0.1753,0.4255,0.0607,0.1702
2004,AM,0,0.0028,0.1614,0.4567,0.0678,0.188
2005,AM,0,0.0029,0.1648,0.45,0.0656,0.1833
2006,AM,0,0.0034,0.1932,0.3777,0.0441,0.1315
2007,AM,0,0.0032,0.1856,0.3841,0.0417,0.1283
2008,AM,0,0.0034,0.1933,0.3696,0.0433,0.1259
2009,AM,0,0.0035,0.1974,0.3637,0.0414,0.1219
2010,AM,0,0.0033,0.1878,0.3912,0.0562,0.1476
2011,AM,0,0.0035,0.1948,0.3729,0.0464,0.1326
2012,AM,0,0.0035,0.1963,0.377,0.0461,0.1358
2013,AM,0,0.0034,0.1906,0.3799,0.0513,0.1387
2014,AM,0,0.0033,0.1857,0.3916,0.0461,0.1424
2015,AM,0,0.0031,0.1803,0.4056,0.05,0.1504
2016,AM,0,0.0029,0.1736,0.3983,0.0716,0.1653
2017,AM,0,0.003,0.1683,0.435,0.0773,0.1872
2018,AM,0,0.0029,0.1674,0.4374,0.0599,0.1746
2019,AM,0,0.0033,0.1859,0.396,0.0539,0.15
2020,AM,0,0.0033,0.1859,0.396,0.0539,0.15
2021,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
2022,AM,0,0.0021,0.1348,0.4677,0.0708,0.1897
1980,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1981,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1982,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1983,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1984,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1985,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1986,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1987,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1988,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1989,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1990,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1991,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1992,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1993,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1994,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1995,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1996,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1997,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1998,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
1999,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
2000,AO,0,0.0012,0.0915,0.5803,0.0667,0.2198
2001,AO,0,0.0013,0.0953,0.5695,0.0631,0.2115
2002,AO,0,0.0014,0.0992,0.5587,0.0596,0.2032
2003,AO,0,0.0015,0.103,0.5478,0.056,0.1949
2004,AO,0,0.0015,0.1069,0.5369,0.0525,0.1865
2005,AO,0,0.0016,0.1107,0.526,0.049,0.1782
2006,AO,0,0.0017,0.1146,0.5151,0.0455,0.1698
2007,AO,0,0.0018,0.1185,0.5041,0.0421,0.1614
2008,AO,0,0.0019,0.1223,0.4932,0.0387,0.153
2009,AO,0,0.0018,0.1191,0.5019,0.0449,0.1637
2010,AO,0,0.0017,0.1159,0.5106,0.0515,0.1744
2011,AO,0,0.0017,0.1127,0.5193,0.0583,0.1851
2012,AO,0,0.0016,0.1095,0.528,0.0654,0.1958
2013,AO,0,0.0016,0.1063,0.5367,0.0728,0.2065
2014,AO,0,0.0015,0.1031,0.5454,0.0803,0.2172
2015,AO,0,0.0015,0.0999,0.5541,0.0881,0.2278
2016,AO,0,0.0014,0.0967,0.5628,0.096,0.2385
2017,AO,0,0.0013,0.0936,0.5714,0.1041,0.2491
2018,AO,0,0.0013,0.0904,0.5801,0.1123,0.2598
2019,AO,0,0.0013,0.0904,0.5801,0.1123,0.2598
2020,AO,0,0.0013,0.0904,0.5801,0.1123,0.2598
2021,AO,0,0.0013,0.0904,0.5801,0.1123,0.2598
2022,AO,0,0.0013,0.0904,0.5801,0.1123,0.2598
1980,AR,0,0,0.0933,0.4958,0.0348,0.1427
1981,AR,0,0,0.0933,0.4958,0.0348,0.1427
1982,AR,0,0,0.0933,0.4958,0.0348,0.1427
1983,AR,0,0,0.0933,0.4958,0.0348,0.1427
1984,AR,0,0,0.0933,0.4958,0.0348,0.1427
1985,AR,0,0,0.0933,0.4958,0.0348,0.1427
1986,AR,0,0,0.0933,0.4958,0.0348,0.1427
1987,AR,0,0,0.0933,0.4958,0.0348,0.1427
1988,AR,0,0,0.0933,0.4958,0.0348,0.1427
1989,AR,0,0,0.0933,0.4958,0.0348,0.1427
1990,AR,0,0,0.0933,0.4958,0.0348,0.1427
1991,AR,0,0,0.0933,0.4958,0.0348,0.1427
1992,AR,0,0,0.0933,0.4958,0.0348,0.1427
1993,AR,0,0,0.0933,0.4958,0.0348,0.1427
1994,AR,0,0,0.0933,0.4958,0.0348,0.1427
1995,AR,0,0,0.0933,0.4958,0.0348,0.1427
1996,AR,0,0,0.0933,0.4958,0.0348,0.1427
1997,AR,0,0,0.0933,0.4958,0.0348,0.1427
1998,AR,0,0,0.0933,0.4958,0.0348,0.1427
1999,AR,0,0,0.0933,0.4958,0.0348,0.1427
2000,AR,0,0,0.0933,0.4958,0.0348,0.1427
2001,AR,0,0,0.0774,0.5098,0.0293,0.1434
2002,AR,0,0,0.0773,0.5198,0.0367,0.1541
2003,AR,0,0,0.1077,0.4846,0.0405,0.1574
2004,AR,0,0,0.1156,0.4664,0.0289,0.1368
2005,AR,0,0,0.1185,0.45,0.0224,0.117
2006,AR,0,0,0.1248,0.4381,0.0208,0.105
2007,AR,0,0,0.1257,0.4576,0.0491,0.1445
2008,AR,0,0,0.1275,0.4592,0.0447,0.1454
2009,AR,0,0,0.1291,0.427,0.0244,0.1192
2010,AR,0,0,0.1334,0.4398,0.0275,0.1192
2011,AR,0,0,0.1413,0.4244,0.027,0.1157
2012,AR,0,0,0.1464,0.3937,0.0144,0.0847
2013,AR,0,0,0.1458,0.4039,0.0174,0.0993
2014,AR,0,0,0.1381,0.4052,0.024,0.1013
2015,AR,0,0,0.1412,0.4297,0.0337,0.1199
2016,AR,0,0,0.1445,0.4563,0.0441,0.14
2017,AR,0,0,0.1501,0.4312,0.026,0.1175
2018,AR,0,0,0.1461,0.4356,0.0249,0.1217
2019,AR,0,0,0.1394,0.4639,0.0401,0.1425
2020,AR,0,0,0.1218,0.4621,0.0404,0.1382
2021,AR,0,0,0.1472,0.4391,0.0362,0.1342
2022,AR,0,0,0.1472,0.4391,0.0362,0.1342
1980,AT,0,0.0037,0.2182,0.3425,0.0284,0.1161
1981,AT,0,0.0037,0.2179,0.3417,0.0277,0.1143
1982,AT,0,0.0037,0.2175,0.3409,0.0269,0.1124
1983,AT,0,0.0037,0.2177,0.3408,0.0269,0.1125
1984,AT,0,0.0036,0.2176,0.3402,0.0269,0.1125
1985,AT,0,0.0036,0.2169,0.3406,0.027,0.1127
1986,AT,0,0.0036,0.2162,0.3405,0.027,0.1128
1987,AT,0,0.0038,0.2221,0.3423,0.0269,0.1128
1988,AT,0,0.0039,0.2242,0.3412,0.0272,0.1132
1989,AT,0,0.0036,0.2186,0.3409,0.0272,0.1132
1990,AT,0,0.0037,0.2205,0.3404,0.0273,0.1133
1991,AT,0,0.0038,0.2212,0.3403,0.0272,0.1131
1992,AT,0,0.0037,0.2215,0.3388,0.0271,0.1127
1993,AT,0,0.0037,0.2181,0.3402,0.0271,0.1129
1994,AT,0,0.0038,0.2187,0.3392,0.0271,0.1128
1995,AT,0,0.0037,0.2164,0.3379,0.0268,0.1118
1996,AT,0,0.0037,0.2162,0.3392,0.027,0.1125
1997,AT,0,0.0037,0.2144,0.3436,0.0278,0.115
1998,AT,0,0.0037,0.2144,0.3488,0.0291,0.1184
1999,AT,0,0.0039,0.221,0.3356,0.0255,0.1088
2000,AT,0,0.0037,0.2154,0.3491,0.0292,0.1186
2001,AT,0,0.0039,0.2196,0.3425,0.0273,0.1137
2002,AT,0,0.0038,0.2156,0.3483,0.028,0.116
2003,AT,0,0.0037,0.2113,0.3614,0.0353,0.1221
2004,AT,0,0.0039,0.2185,0.3414,0.023,0.1148
2005,AT,0,0.0037,0.212,0.3549,0.0259,0.1127
2006,AT,0,0.0035,0.2028,0.3748,0.044,0.1331
2007,AT,0,0.0037,0.2103,0.353,0.0255,0.1149
2008,AT,0,0.0037,0.2121,0.3553,0.0331,0.1231
2009,AT,0,0.0038,0.2141,0.3424,0.0335,0.1082
2010,AT,0,0.0036,0.2119,0.3472,0.0307,0.1137
2011,AT,0,0.0038,0.2166,0.3386,0.0359,0.1111
2012,AT,0,0.004,0.2243,0.3189,0.0208,0.0827
2013,AT,0,0.0039,0.2259,0.3212,0.0234,0.0896
2014,AT,0,0.0038,0.2175,0.3408,0.0288,0.111
2015,AT,0,0.0039,0.2198,0.3331,0.0261,0.1016
2016,AT,0,0.0038,0.2181,0.3417,0.0311,0.1108
2017,AT,0,0.0039,0.2241,0.3338,0.0334,0.0988
2018,AT,0,0.0039,0.2239,0.333,0.0325,0.0974
2019,AT,0,0.004,0.2271,0.3288,0.031,0.0946
2020,AT,0,0.0039,0.2196,0.3514,0.0435,0.1152
2021,AT,0,0.004,0.2232,0.3415,0.0384,0.1069
2022,AT,0,0.004,0.223,0.3419,0.0386,0.1072
1980,AU,0,0.0025,0.1955,0.2485,0.0141,0.0547
1981,AU,0,0.0025,0.195,0.2479,0.013,0.0527
1982,AU,0,0.0025,0.1917,0.2509,0.013,0.0531
1983,AU,0,0.0025,0.1945,0.2483,0.0134,0.0529
1984,AU,0,0.0025,0.1943,0.253,0.0144,0.0564
1985,AU,0,0.0025,0.1927,0.2552,0.0163,0.0599
1986,AU,0,0.0024,0.1889,0.2629,0.0176,0.0637
1987,AU,0,0.0024,0.1826,0.2787,0.0239,0.0751
1988,AU,0,0.0023,0.1783,0.2948,0.0361,0.0922
1989,AU,0,0.0024,0.1865,0.2753,0.0232,0.0757
1990,AU,0,0.0024,0.1881,0.269,0.0207,0.0706
1991,AU,0,0.0025,0.1876,0.2959,0.0205,0.07
1992,AU,0,0.0026,0.1914,0.2926,0.0194,0.0687
1993,AU,0,0.0025,0.1878,0.2988,0.0207,0.0723
1994,AU,0,0.0025,0.1856,0.3034,0.0219,0.0759
1995,AU,0,0.0026,0.1847,0.3087,0.0228,0.0788
1996,AU,0,0.0026,0.1868,0.3094,0.0248,0.0829
1997,AU,0,0.0025,0.1854,0.3034,0.0185,0.0751
1998,AU,0,0.0025,0.182,0.3107,0.02,0.0813
1999,AU,0,0.0024,0.1799,0.3115,0.0213,0.0833
2000,AU,0,0.0024,0.1796,0.3189,0.0298,0.0893
2001,AU,0,0.0026,0.1863,0.3171,0.0304,0.0894
2002,AU,0,0.0023,0.1768,0.3264,0.0313,0.0939
2003,AU,0,0.0025,0.1813,0.3261,0.0344,0.0948
2004,AU,0,0.0025,0.1807,0.3329,0.0339,0.0992
2005,AU,0,0.0024,0.1759,0.3369,0.0325,0.1013
2006,AU,0,0.0024,0.1758,0.3383,0.0321,0.1
2007,AU,0,0.0025,0.1788,0.3414,0.0396,0.1079
2008,AU,0,0.0024,0.1728,0.3431,0.0371,0.1051
2009,AU,0,0.0025,0.1766,0.3512,0.0328,0.1094
2010,AU,0,0.0025,0.1765,0.3487,0.0349,0.1073
2011,AU,0,0.0026,0.1776,0.3515,0.0396,0.1088
2012,AU,0,0.0025,0.1765,0.3508,0.0363,0.1064
2013,AU,0,0.0025,0.1752,0.3482,0.0344,0.1039
2014,AU,0,0.0025,0.175,0.3486,0.0351,0.1073
2015,AU,0,0.0024,0.1717,0.3448,0.0286,0.1019
2016,AU,0,0.0025,0.1743,0.3374,0.0302,0.0966
2017,AU,0,0.0024,0.173,0.3436,0.031,0.1002
2018,AU,0,0.0025,0.1782,0.3376,0.0324,0.0967
2019,AU,0,0.0024,0.1723,0.3291,0.0318,0.0991
2020,AU,0,0.0024,0.1723,0.3291,0.0318,0.0991
2021,AU,0,0.0024,0.1723,0.3291,0.0318,0.0991
2022,AU,0,0.0024,0.1723,0.3291,0.0318,0.0991
1980,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1981,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1982,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1983,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1984,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1985,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1986,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1987,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1988,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1989,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1990,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1991,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1992,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1993,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1994,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1995,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1996,AZ,0,0.0024,0.1465,0.4343,0.0594,0.1628
1997,AZ,0,0.0024,0.1461,0.4377,0.0598,0.1648
1998,AZ,0,0.0025,0.15,0.4359,0.0577,0.1622
1999,AZ,0,0.0025,0.1493,0.4394,0.0583,0.1644
2000,AZ,0,0.0026,0.1539,0.4365,0.0557,0.1609
2001,AZ,0,0.0027,0.1563,0.4363,0.0544,0.1598
2002,AZ,0,0.0038,0.202,0.3805,0.0495,0.1392
2003,AZ,0,0.0037,0.2026,0.3745,0.0455,0.1329
2004,AZ,0,0.0038,0.2053,0.3834,0.05,0.1426
2005,AZ,0,0.0036,0.1949,0.3916,0.0535,0.147
2006,AZ,0,0.0029,0.1615,0.4293,0.0687,0.1754
2007,AZ,0,0.0027,0.1537,0.4382,0.0723,0.1821
2008,AZ,0,0.0037,0.1974,0.3887,0.0524,0.1449
2009,AZ,0,0.0037,0.2001,0.3858,0.0512,0.1426
2010,AZ,0,0.0039,0.2053,0.38,0.0488,0.1382
2011,AZ,0,0.0038,0.2008,0.385,0.0508,0.142
2012,AZ,0,0.0036,0.1956,0.3908,0.0532,0.1465
2013,AZ,0,0.0037,0.1994,0.3865,0.0515,0.1432
2014,AZ,0,0.0037,0.1994,0.3865,0.0515,0.1432
2015,AZ,0,0.0038,0.2041,0.3814,0.0493,0.1392
2016,AZ,0,0.004,0.211,0.3737,0.0462,0.1333
2017,AZ,0,0.0038,0.2033,0.3822,0.0497,0.1399
2018,AZ,0,0.0038,0.2033,0.3822,0.0497,0.1399
2019,AZ,0,0.0038,0.2033,0.3822,0.0497,0.1399
2020,AZ,0,0.0038,0.2033,0.3822,0.0497,0.1399
2021,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
2022,AZ,0,0.0024,0.1482,0.4287,0.058,0.1589
1980,BA,0,0.0047,0.2323,0.2793,0.0175,0.069
1981,BA,0,0.0047,0.2323,0.2793,0.0175,0.069
1982,BA,0,0.0047,0.2322,0.2793,0.0175,0.0691
1983,BA,0,0.0047,0.2323,0.2792,0.0175,0.069
1984,BA,0,0.0045,0.2249,0.2892,0.0198,0.0743
1985,BA,0,0.0045,0.2274,0.2831,0.0184,0.0706
1986,BA,0,0.0042,0.2212,0.2794,0.0153,0.0652
1987,BA,0,0.0043,0.2223,0.288,0.019,0.0725
1988,BA,0,0.0038,0.2067,0.3005,0.0213,0.0775
1989,BA,0,0.0045,0.2278,0.2754,0.0153,0.0644
1990,BA,0,0.0046,0.2301,0.2736,0.0154,0.064
1991,BA,0,0.0044,0.2254,0.2808,0.0172,0.068
1992,BA,0,0.0042,0.2209,0.2878,0.0188,0.0718
1993,BA,0,0.004,0.2163,0.2951,0.0209,0.0762
1994,BA,0,0.0038,0.2117,0.3025,0.0232,0.0809
1995,BA,0,0.0036,0.2069,0.3106,0.0261,0.0864
1996,BA,0,0.0035,0.2039,0.3134,0.0263,0.0871
1997,BA,0,0.0033,0.2005,0.3168,0.0267,0.0882
1998,BA,0,0.0031,0.1965,0.3225,0.0283,0.0915
1999,BA,0,0.003,0.195,0.3207,0.0258,0.0878
2000,BA,0,0.0028,0.1926,0.3218,0.0252,0.087
2001,BA,0,0.0027,0.189,0.3259,0.0259,0.0887
2002,BA,0,0.0025,0.1852,0.3328,0.0255,0.0898
2003,BA,0,0.0024,0.1798,0.3403,0.0256,0.0915
2004,BA,0,0.0025,0.1783,0.3431,0.0232,0.0888
2005,BA,0,0.0025,0.1793,0.3417,0.0253,0.0908
2006,BA,0,0.0025,0.1806,0.3396,0.024,0.0885
2007,BA,0,0.0025,0.1797,0.3386,0.0226,0.0865
2008,BA,0,0.0024,0.1777,0.3455,0.0261,0.0933
2009,BA,0,0.0025,0.1787,0.3437,0.025,0.0914
2010,BA,0,0.0025,0.1783,0.3449,0.0266,0.0936
2011,BA,0,0.0025,0.1779,0.348,0.0292,0.0976
2012,BA,0,0.0025,0.1785,0.3464,0.0282,0.0963
2013,BA,0,0.0025,0.1818,0.346,0.0293,0.0976
2014,BA,0,0.0025,0.182,0.3458,0.0293,0.0975
2015,BA,0,0.0025,0.1822,0.3469,0.0297,0.0986
2016,BA,0,0.0025,0.1826,0.3464,0.0296,0.0983
2017,BA,0,0.0025,0.1818,0.3488,0.0309,0.1006
2018,BA,0,0.0025,0.1823,0.347,0.0299,0.0988
2019,BA,0,0.0025,0.1834,0.3438,0.028,0.0956
2020,BA,0,0.0025,0.1839,0.3422,0.0271,0.0941
2021,BA,0,0.0025,0.1838,0.3425,0.0273,0.0944
