year,mean,region
2007,0.39091840853174403,Oceania
2008,0.388421787143976,Oceania
2009,0.42015214579424565,Oceania
2010,0.41887986536993,Oceania
2011,0.41947971936548367,Oceania
2012,0.4248897817137697,Oceania
2013,0.423458196586675,Oceania
2014,0.4241497639696916,Oceania
2015,0.4287941224029533,Oceania
2016,0.427134808724062,Oceania
2017,0.429544333213509,Oceania
2018,0.42334249461725637,Oceania
2019,0.4221938277276443,Oceania
2020,0.4306870828632313,Oceania
2021,0.45089537864575163,Oceania
2022,0.45089195124573933,Oceania
