unit,year,country,variable,value
g,2016,AZ,gdiincj992,0.443850506244264
g,2017,AZ,gdiincj992,0.459840747694503
g,2018,AZ,gdiincj992,0.462100422514634
g,2019,AZ,gdiincj992,0.460857730290943
g,2020,AZ,gdiincj992,0.459868854852878
g,2021,AZ,gdiincj992,0.541311634310851
g,2022,AZ,gdiincj992,0.541311643391246
g,1981,BA,gdiincj992,0.349962599538299
g,1982,BA,gdiincj992,0.34993237429647
g,1983,BA,gdiincj992,0.349845293260709
g,1984,BA,gdiincj992,0.361644553331978
g,1985,BA,gdiincj992,0.356327290116957
g,1986,BA,gdiincj992,0.360686587601377
g,1987,BA,gdiincj992,0.363866192367401
g,1988,BA,gdiincj992,0.385430654642361
g,1989,BA,gdiincj992,0.352580905561346
g,1990,BA,gdiincj992,0.34913734662771
g,1991,BA,gdiincj992,0.357581559869397
g,1992,BA,gdiincj992,0.365822130919218
g,1993,BA,gdiincj992,0.374314360749018
g,1994,BA,gdiincj992,0.382901239798125
g,1995,BA,gdiincj992,0.392140301266796
g,1996,BA,gdiincj992,0.398167709661857
g,1997,BA,gdiincj992,0.404176398949458
g,1998,BA,gdiincj992,0.418239711536005
g,1999,BA,gdiincj992,0.41722091413831
g,2000,BA,gdiincj992,0.418516117366698
g,2001,BA,gdiincj992,0.426706504370785
g,2002,BA,gdiincj992,0.434413500858305
g,2003,BA,gdiincj992,0.437682978501472
g,2004,BA,gdiincj992,0.442098797283027
g,2005,BA,gdiincj992,0.446394054542885
g,2006,BA,gdiincj992,0.443926449249663
g,2007,BA,gdiincj992,0.441403660865721
g,2008,BA,gdiincj992,0.44639759878053
g,2009,BA,gdiincj992,0.43752551628091
g,2010,BA,gdiincj992,0.436485423036885
g,2011,BA,gdiincj992,0.438025585617925
g,2012,BA,gdiincj992,0.434316812310305
g,2013,BA,gdiincj992,0.432616050725107
g,2014,BA,gdiincj992,0.431532468732616
g,2015,BA,gdiincj992,0.434215782655196
g,2016,BA,gdiincj992,0.432474986823127
g,2017,BA,gdiincj992,0.435144267386409
g,2018,BA,gdiincj992,0.434649523344771
g,2019,BA,gdiincj992,0.432385856120748
g,2020,BA,gdiincj992,0.429625112360553
g,2021,BA,gdiincj992,0.429794015071527
g,2022,BA,gdiincj992,0.429794042836582
g,1981,BD,gdiincj992,0.465470035931997
