year,country,variable,value
1980,AD,npopuli999,35611
1981,AD,npopuli999,36987
1982,AD,npopuli999,38598
1983,AD,npopuli999,40432
1984,AD,npopuli999,42181
1985,AD,npopuli999,43809
1986,AD,npopuli999,45605
1987,AD,npopuli999,47635
1988,AD,npopuli999,49654
1989,AD,npopuli999,51639
1990,AD,npopuli999,53569
1991,AD,npopuli999,55434
1992,AD,npopuli999,57283
1993,AD,npopuli999,59156
1994,AD,npopuli999,61037
1995,AD,npopuli999,62928
1996,AD,npopuli999,64147
1997,AD,npopuli999,64682
1998,AD,npopuli999,65186
1999,AD,npopuli999,65655
2000,AD,npopuli999,66097
2001,AD,npopuli999,67820
2002,AD,npopuli999,70849
2003,AD,npopuli999,73907
2004,AD,npopuli999,76933
2005,AD,npopuli999,79826
2006,AD,npopuli999,80221
2007,AD,npopuli999,78168
2008,AD,npopuli999,76055
2009,AD,npopuli999,73852
2010,AD,npopuli999,71519
2011,AD,npopuli999,70567
2012,AD,npopuli999,71013
2013,AD,npopuli999,71367
2014,AD,npopuli999,71621
2015,AD,npopuli999,71746
2016,AD,npopuli999,72540
2017,AD,npopuli999,73837
2018,AD,npopuli999,75013
2019,AD,npopuli999,76343
2020,AD,npopuli999,77700
2021,AD,npopuli999,79034
2022,AD,npopuli999,79824
1980,AE,npopuli999,1014048
1981,AE,npopuli999,1100180
1982,AE,npopuli999,1167856
1983,AE,npopuli999,1237572
1984,AE,npopuli999,1308331
1985,AE,npopuli999,1379536
1986,AE,npopuli999,1468697
1987,AE,npopuli999,1575909
1988,AE,npopuli999,1683681
1989,AE,npopuli999,1791840
1990,AE,npopuli999,1900151
1991,AE,npopuli999,2008383
1992,AE,npopuli999,2116231
1993,AE,npopuli999,2223284
1994,AE,npopuli999,2329024
1995,AE,npopuli999,2433988
1996,AE,npopuli999,2572735
1997,AE,npopuli999,2746119
1998,AE,npopuli999,2921130
1999,AE,npopuli999,3097563
2000,AE,npopuli999,3275333
2001,AE,npopuli999,3454198
2002,AE,npopuli999,3633655
2003,AE,npopuli999,3813443
2004,AE,npopuli999,3993339
2005,AE,npopuli999,4280993
2006,AE,npopuli999,4898954
2007,AE,npopuli999,5872624
2008,AE,npopuli999,6988685
2009,AE,npopuli999,7992644
2010,AE,npopuli999,8481771
2011,AE,npopuli999,8575205
2012,AE,npopuli999,8664969
2013,AE,npopuli999,8751847
2014,AE,npopuli999,8835951
2015,AE,npopuli999,8916899
2016,AE,npopuli999,8994263
2017,AE,npopuli999,9068296
2018,AE,npopuli999,9140169
2019,AE,npopuli999,9211657
2020,AE,npopuli999,9287289
2021,AE,npopuli999,9365145
2022,AE,npopuli999,9441129
1980,AF,npopuli999,12486631
1981,AF,npopuli999,11155195
1982,AF,npopuli999,10088289
1983,AF,npopuli999,9951449
1984,AF,npopuli999,10243686
1985,AF,npopuli999,10512221
1986,AF,npopuli999,10448442
1987,AF,npopuli999,10322758
1988,AF,npopuli999,10383460
1989,AF,npopuli999,10673168
1990,AF,npopuli999,10694796
1991,AF,npopuli999,10745167
1992,AF,npopuli999,12057433
1993,AF,npopuli999,14003760
1994,AF,npopuli999,15455555
1995,AF,npopuli999,16418912
1996,AF,npopuli999,17106596
1997,AF,npopuli999,17788820
1998,AF,npopuli999,18493132
1999,AF,npopuli999,19262848
2000,AF,npopuli999,19542982
2001,AF,npopuli999,19688632
2002,AF,npopuli999,21000256
2003,AF,npopuli999,22645130
2004,AF,npopuli999,23553552
2005,AF,npopuli999,24411192
2006,AF,npopuli999,25442944
2007,AF,npopuli999,25903300
2008,AF,npopuli999,26427200
2009,AF,npopuli999,27385308
2010,AF,npopuli999,28189672
2011,AF,npopuli999,29249156
2012,AF,npopuli999,30466480
2013,AF,npopuli999,31541208
2014,AF,npopuli999,32716210
2015,AF,npopuli999,33753500
2016,AF,npopuli999,34636208
2017,AF,npopuli999,35643416
2018,AF,npopuli999,36686784
2019,AF,npopuli999,37769500
2020,AF,npopuli999,38972232
2021,AF,npopuli999,40099464
2022,AF,npopuli999,41128772
1980,AG,npopuli999,64889
1981,AG,npopuli999,65076
1982,AG,npopuli999,65231
1983,AG,npopuli999,65408
1984,AG,npopuli999,65362
1985,AG,npopuli999,65048
1986,AG,npopuli999,64712
1987,AG,npopuli999,64353
1988,AG,npopuli999,63982
1989,AG,npopuli999,63636
1990,AG,npopuli999,63328
1991,AG,npopuli999,63634
1992,AG,npopuli999,64659
1993,AG,npopuli999,65834
1994,AG,npopuli999,67072
1995,AG,npopuli999,68398
1996,AG,npopuli999,69798
1997,AG,npopuli999,71218
1998,AG,npopuli999,72572
1999,AG,npopuli999,73821
2000,AG,npopuli999,75055
2001,AG,npopuli999,76215
2002,AG,npopuli999,77195
2003,AG,npopuli999,78075
2004,AG,npopuli999,78941
2005,AG,npopuli999,79869
2006,AG,npopuli999,80895
2007,AG,npopuli999,82016
2008,AG,npopuli999,83251
2009,AG,npopuli999,84534
2010,AG,npopuli999,85695
2011,AG,npopuli999,86729
2012,AG,npopuli999,87674
2013,AG,npopuli999,88497
2014,AG,npopuli999,89236
2015,AG,npopuli999,89941
2016,AG,npopuli999,90564
2017,AG,npopuli999,91119
2018,AG,npopuli999,91626
2019,AG,npopuli999,92117
2020,AG,npopuli999,92664
2021,AG,npopuli999,93219
2022,AG,npopuli999,93763
1980,AI,npopuli999,6560
1981,AI,npopuli999,6571
1982,AI,npopuli999,6585
1983,AI,npopuli999,6601
1984,AI,npopuli999,6691
1985,AI,npopuli999,6907
1986,AI,npopuli999,7167
1987,AI,npopuli999,7436
1988,AI,npopuli999,7718
1989,AI,npopuli999,8017
1990,AI,npopuli999,8316
1991,AI,npopuli999,8617
1992,AI,npopuli999,8887
1993,AI,npopuli999,9121
1994,AI,npopuli999,9356
1995,AI,npopuli999,9601
1996,AI,npopuli999,9863
1997,AI,npopuli999,10132
1998,AI,npopuli999,10416
1999,AI,npopuli999,10722
2000,AI,npopuli999,11047
2001,AI,npopuli999,11344
2002,AI,npopuli999,11560
2003,AI,npopuli999,11744
2004,AI,npopuli999,11934
2005,AI,npopuli999,12128
2006,AI,npopuli999,12325
2007,AI,npopuli999,12524
2008,AI,npopuli999,12730
2009,AI,npopuli999,12946
2010,AI,npopuli999,13172
2011,AI,npopuli999,13341
2012,AI,npopuli999,13455
2013,AI,npopuli999,13700
2014,AI,npopuli999,14120
2015,AI,npopuli999,14525
2016,AI,npopuli999,14813
2017,AI,npopuli999,15015
2018,AI,npopuli999,15181
2019,AI,npopuli999,15380
2020,AI,npopuli999,15585
2021,AI,npopuli999,15753
2022,AI,npopuli999,15857
1980,AL,npopuli999,2941651
1981,AL,npopuli999,2992389
1982,AL,npopuli999,3041179
1983,AL,npopuli999,3087911
1984,AL,npopuli999,3131726
1985,AL,npopuli999,3171725
1986,AL,npopuli999,3207128
1987,AL,npopuli999,3237676
1988,AL,npopuli999,3263019
1989,AL,npopuli999,3282182
1990,AL,npopuli999,3295066
1991,AL,npopuli999,3302081
1992,AL,npopuli999,3303739
1993,AL,npopuli999,3300711
1994,AL,npopuli999,3293999
1995,AL,npopuli999,3284364
1996,AL,npopuli999,3271331
1997,AL,npopuli999,3253719
1998,AL,npopuli999,3232175
1999,AL,npopuli999,3208260
2000,AL,npopuli999,3182021
2001,AL,npopuli999,3153612
2002,AL,npopuli999,3123551
2003,AL,npopuli999,3092991
2004,AL,npopuli999,3062622
2005,AL,npopuli999,3032634
2006,AL,npopuli999,3003387
2007,AL,npopuli999,2976084
2008,AL,npopuli999,2951689
2009,AL,npopuli999,2930541
2010,AL,npopuli999,2913399
2011,AL,npopuli999,2900654
2012,AL,npopuli999,2892193
2013,AL,npopuli999,2887014
2014,AL,npopuli999,2884102
2015,AL,npopuli999,2882481
2016,AL,npopuli999,2881063
2017,AL,npopuli999,2879355
2018,AL,npopuli999,2877013
2019,AL,npopuli999,2873883
2020,AL,npopuli999,2866849
2021,AL,npopuli999,2854710
2022,AL,npopuli999,2842321
1980,AM,npopuli999,3135123
1981,AM,npopuli999,3167876
1982,AM,npopuli999,3202011
1983,AM,npopuli999,3238291
1984,AM,npopuli999,3272102
1985,AM,npopuli999,3300896
1986,AM,npopuli999,3327182
1987,AM,npopuli999,3351364
1988,AM,npopuli999,3366838
1989,AM,npopuli999,3448186
1990,AM,npopuli999,3556539
1991,AM,npopuli999,3617631
1992,AM,npopuli999,3574555
1993,AM,npopuli999,3457349
1994,AM,npopuli999,3373713
1995,AM,npopuli999,3322782
1996,AM,npopuli999,3298898
1997,AM,npopuli999,3271418
1998,AM,npopuli999,3240550
1999,AM,npopuli999,3206030
2000,AM,npopuli999,3168523
2001,AM,npopuli999,3133133
2002,AM,npopuli999,3105037
2003,AM,npopuli999,3084102
2004,AM,npopuli999,3065745
2005,AM,npopuli999,3047246
2006,AM,npopuli999,3026486
2007,AM,npopuli999,3004393
2008,AM,npopuli999,2983421
2009,AM,npopuli999,2964296
2010,AM,npopuli999,2946293
2011,AM,npopuli999,2928976
2012,AM,npopuli999,2914421
2013,AM,npopuli999,2901385
2014,AM,npopuli999,2889930
2015,AM,npopuli999,2878595
2016,AM,npopuli999,2865835
2017,AM,npopuli999,2851923
2018,AM,npopuli999,2836557
2019,AM,npopuli999,2820602
2020,AM,npopuli999,2805608
2021,AM,npopuli999,2790974
2022,AM,npopuli999,2780469
1980,AN,npopuli999,169094
1981,AN,npopuli999,170158
1982,AN,npopuli999,171466
1983,AN,npopuli999,172887
1984,AN,npopuli999,174280
1985,AN,npopuli999,175703
1986,AN,npopuli999,177161
1987,AN,npopuli999,178657
1988,AN,npopuli999,180182
1989,AN,npopuli999,181725
1990,AN,npopuli999,183291
1991,AN,npopuli999,184841
1992,AN,npopuli999,185721
1993,AN,npopuli999,185210
1994,AN,npopuli999,183824
1995,AN,npopuli999,182188
1996,AN,npopuli999,180348
1997,AN,npopuli999,178340
1998,AN,npopuli999,176207
1999,AN,npopuli999,173969
2000,AN,npopuli999,171913
2001,AN,npopuli999,171032
2002,AN,npopuli999,171956
2003,AN,npopuli999,173985
2004,AN,npopuli999,176267
2005,AN,npopuli999,178757
2006,AN,npopuli999,181477
2007,AN,npopuli999,184255
2008,AN,npopuli999,187043
2009,AN,npopuli999,189773
2010,AN,npopuli999,192414
2011,AN,npopuli999,194986
2012,AN,npopuli999,199087
1980,AO,npopuli999,8330047
1981,AO,npopuli999,8631457
1982,AO,npopuli999,8947152
1983,AO,npopuli999,9276707
1984,AO,npopuli999,9617702
1985,AO,npopuli999,9970621
1986,AO,npopuli999,10332574
1987,AO,npopuli999,10694057
1988,AO,npopuli999,11060261
1989,AO,npopuli999,11439498
1990,AO,npopuli999,11828638
1991,AO,npopuli999,12228691
1992,AO,npopuli999,12632507
1993,AO,npopuli999,13038270
1994,AO,npopuli999,13462031
1995,AO,npopuli999,13912253
1996,AO,npopuli999,14383350
1997,AO,npopuli999,14871146
1998,AO,npopuli999,15366864
1999,AO,npopuli999,15870753
2000,AO,npopuli999,16394062
2001,AO,npopuli999,16941588
2002,AO,npopuli999,17516140
2003,AO,npopuli999,18124342
2004,AO,npopuli999,18771124
2005,AO,npopuli999,19450960
2006,AO,npopuli999,20162340
2007,AO,npopuli999,20909684
2008,AO,npopuli999,21691522
2009,AO,npopuli999,22507674
2010,AO,npopuli999,23364184
2011,AO,npopuli999,24259112
2012,AO,npopuli999,25188292
2013,AO,npopuli999,26147002
2014,AO,npopuli999,27128336
2015,AO,npopuli999,28127720
2016,AO,npopuli999,29154746
2017,AO,npopuli999,30208628
2018,AO,npopuli999,31273532
2019,AO,npopuli999,32353588
2020,AO,npopuli999,33428486
2021,AO,npopuli999,34503776
2022,AO,npopuli999,35588988
1980,AR,npopuli999,28024804
1981,AR,npopuli999,28471284
1982,AR,npopuli999,28922762
1983,AR,npopuli999,29377136
1984,AR,npopuli999,29832196
1985,AR,npopuli999,30287112
1986,AR,npopuli999,30748326
1987,AR,npopuli999,31216452
1988,AR,npopuli999,31690792
1989,AR,npopuli999,32165766
1990,AR,npopuli999,32637656
1991,AR,npopuli999,33105764
1992,AR,npopuli999,33568284
1993,AR,npopuli999,34027240
1994,AR,npopuli999,34488696
1995,AR,npopuli999,34946112
1996,AR,npopuli999,35389360
1997,AR,npopuli999,35815972
1998,AR,npopuli999,36233196
1999,AR,npopuli999,36653032
2000,AR,npopuli999,37070776
2001,AR,npopuli999,37480492
2002,AR,npopuli999,37885028
2003,AR,npopuli999,38278164
2004,AR,npopuli999,38668796
2005,AR,npopuli999,39070500
2006,AR,npopuli999,39476852
2007,AR,npopuli999,39876112
2008,AR,npopuli999,40273768
2009,AR,npopuli999,40684336
2010,AR,npopuli999,41100124
2011,AR,npopuli999,41520740
2012,AR,npopuli999,41952364
2013,AR,npopuli999,42388268
2014,AR,npopuli999,42824056
2015,AR,npopuli999,43257064
2016,AR,npopuli999,43668240
2017,AR,npopuli999,44054616
2018,AR,npopuli999,44413596
2019,AR,npopuli999,44745520
2020,AR,npopuli999,45036032
2021,AR,npopuli999,45276780
2022,AR,npopuli999,45510320
1980,AS,npopuli999,32886
1981,AS,npopuli999,34059
1982,AS,npopuli999,35367
1983,AS,npopuli999,36735
1984,AS,npopuli999,38168
1985,AS,npopuli999,39663
1986,AS,npopuli999,41221
1987,AS,npopuli999,42842
1988,AS,npopuli999,44532
1989,AS,npopuli999,46288
1990,AS,npopuli999,47818
1991,AS,npopuli999,48992
1992,AS,npopuli999,50078
1993,AS,npopuli999,51174
1994,AS,npopuli999,52288
1995,AS,npopuli999,53401
1996,AS,npopuli999,54500
1997,AS,npopuli999,55578
1998,AS,npopuli999,56603
1999,AS,npopuli999,57594
2000,AS,npopuli999,58230
2001,AS,npopuli999,58324
2002,AS,npopuli999,58177
2003,AS,npopuli999,57941
2004,AS,npopuli999,57626
2005,AS,npopuli999,57254
2006,AS,npopuli999,56837
2007,AS,npopuli999,56383
2008,AS,npopuli999,55891
2009,AS,npopuli999,55366
2010,AS,npopuli999,54849
2011,AS,npopuli999,54310
2012,AS,npopuli999,53691
2013,AS,npopuli999,52995
2014,AS,npopuli999,52217
2015,AS,npopuli999,51368
2016,AS,npopuli999,50448
2017,AS,npopuli999,49463
2018,AS,npopuli999,48424
2019,AS,npopuli999,47321
2020,AS,npopuli999,46189
2021,AS,npopuli999,45035
2022,AS,npopuli999,44273
1980,AT,npopuli999,7547561
1981,AT,npopuli999,7566316
1982,AT,npopuli999,7571289
1983,AT,npopuli999,7559110
1984,AT,npopuli999,7558563
1985,AT,npopuli999,7562114
1986,AT,npopuli999,7567248
1987,AT,npopuli999,7572380
1988,AT,npopuli999,7583761
1989,AT,npopuli999,7619391
1990,AT,npopuli999,7678729
1991,AT,npopuli999,7755638
1992,AT,npopuli999,7840816
1993,AT,npopuli999,7905278
1994,AT,npopuli999,7935365
1995,AT,npopuli999,7947296
1996,AT,npopuli999,7958041
1997,AT,npopuli999,7967093
1998,AT,npopuli999,7975862
1999,AT,npopuli999,7991377
2000,AT,npopuli999,8010428
2001,AT,npopuli999,8039626
2002,AT,npopuli999,8078992
2003,AT,npopuli999,8120104
2004,AT,npopuli999,8171217
2005,AT,npopuli999,8227034
2006,AT,npopuli999,8267763
2007,AT,npopuli999,8294722
2008,AT,npopuli999,8321131
2009,AT,npopuli999,8342935
2010,AT,npopuli999,8362829
2011,AT,npopuli999,8391200
2012,AT,npopuli999,8429637
2013,AT,npopuli999,8479539
2014,AT,npopuli999,8546066
2015,AT,npopuli999,8642421
2016,AT,npopuli999,8736487
2017,AT,npopuli999,8797496
2018,AT,npopuli999,8840513
2019,AT,npopuli999,8879940
2020,AT,npopuli999,8907777
2021,AT,npopuli999,8922082
2022,AT,npopuli999,8939617
1980,AU,npopuli999,14706322
1981,AU,npopuli999,14930052
1982,AU,npopuli999,15168445
1983,AU,npopuli999,15383076
1984,AU,npopuli999,15579476
1985,AU,npopuli999,15785682
1986,AU,npopuli999,16012299
1987,AU,npopuli999,16259249
1988,AU,npopuli999,16525903
1989,AU,npopuli999,16796588
1990,AU,npopuli999,17048004
1991,AU,npopuli999,17271086
1992,AU,npopuli999,17462504
1993,AU,npopuli999,17631512
1994,AU,npopuli999,17805504
1995,AU,npopuli999,18003000
1996,AU,npopuli999,18211844
1997,AU,npopuli999,18410250
1998,AU,npopuli999,18601668
1999,AU,npopuli999,18800892
2000,AU,npopuli999,19017964
2001,AU,npopuli999,19248144
2002,AU,npopuli999,19475844
2003,AU,npopuli999,19699000
2004,AU,npopuli999,19925056
2005,AU,npopuli999,20171732
2006,AU,npopuli999,20467030
2007,AU,npopuli999,20830828
2008,AU,npopuli999,21247872
2009,AU,npopuli999,21660892
2010,AU,npopuli999,22019168
2011,AU,npopuli999,22357034
2012,AU,npopuli999,22729268
2013,AU,npopuli999,23111782
2014,AU,npopuli999,23469580
2015,AU,npopuli999,23820236
2016,AU,npopuli999,24195700
2017,AU,npopuli999,24590334
2018,AU,npopuli999,24979230
2019,AU,npopuli999,25357170
2020,AU,npopuli999,25670052
2021,AU,npopuli999,25921088
2022,AU,npopuli999,26177412
1980,AZ,npopuli999,6383060
1981,AZ,npopuli999,6472524
1982,AZ,npopuli999,6567522
1983,AZ,npopuli999,6669007
1984,AZ,npopuli999,6777225
1985,AZ,npopuli999,6891140
1986,AZ,npopuli999,7009127
1987,AZ,npopuli999,7132685
1988,AZ,npopuli999,7261151
1989,AZ,npopuli999,7348874
1990,AZ,npopuli999,7427836
1991,AZ,npopuli999,7538267
1992,AZ,npopuli999,7643338
1993,AZ,npopuli999,7740107
1994,AZ,npopuli999,7821880
1995,AZ,npopuli999,7889330
1996,AZ,npopuli999,7949101
1997,AZ,npopuli999,8000061
1998,AZ,npopuli999,8041096
1999,AZ,npopuli999,8101449
2000,AZ,npopuli999,8190337
2001,AZ,npopuli999,8282023
2002,AZ,npopuli999,8372127
2003,AZ,npopuli999,8462322
2004,AZ,npopuli999,8556164
2005,AZ,npopuli999,8656237
2006,AZ,npopuli999,8763353
2007,AZ,npopuli999,8878411
2008,AZ,npopuli999,8999696
2009,AZ,npopuli999,9119628
2010,AZ,npopuli999,9237202
2011,AZ,npopuli999,9359014
2012,AZ,npopuli999,9485576
2013,AZ,npopuli999,9614478
2014,AZ,npopuli999,9741880
2015,AZ,npopuli999,9863480
2016,AZ,npopuli999,9976248
2017,AZ,npopuli999,10071567
2018,AZ,npopuli999,10152522
2019,AZ,npopuli999,10232753
2020,AZ,npopuli999,10284951
2021,AZ,npopuli999,10312992
2022,AZ,npopuli999,10358074
1980,AW,npopuli999,62267
1981,AW,npopuli999,62614
1982,AW,npopuli999,63116
1983,AW,npopuli999,63683
1984,AW,npopuli999,64174
1985,AW,npopuli999,64478
1986,AW,npopuli999,64553
1987,AW,npopuli999,64450
1988,AW,npopuli999,64332
1989,AW,npopuli999,64596
1990,AW,npopuli999,65712
1991,AW,npopuli999,67864
1992,AW,npopuli999,70192
1993,AW,npopuli999,72360
1994,AW,npopuli999,74710
1995,AW,npopuli999,77050
1996,AW,npopuli999,79417
1997,AW,npopuli999,81858
1998,AW,npopuli999,84355
1999,AW,npopuli999,86867
2000,AW,npopuli999,89101
2001,AW,npopuli999,90691
2002,AW,npopuli999,91781
2003,AW,npopuli999,92701
2004,AW,npopuli999,93540
2005,AW,npopuli999,94483
2006,AW,npopuli999,95606
2007,AW,npopuli999,96787
2008,AW,npopuli999,97996
2009,AW,npopuli999,99212
2010,AW,npopuli999,100341
2011,AW,npopuli999,101288
2012,AW,npopuli999,102112
2013,AW,npopuli999,102880
2014,AW,npopuli999,103594
2015,AW,npopuli999,104257
2016,AW,npopuli999,104874
2017,AW,npopuli999,105439
2018,AW,npopuli999,105962
2019,AW,npopuli999,106442
2020,AW,npopuli999,106585
2021,AW,npopuli999,106537
2022,AW,npopuli999,106445
1980,BA,npopuli999,4199820
1981,BA,npopuli999,4235970
1982,BA,npopuli999,4274013
1983,BA,npopuli999,4312521
1984,BA,npopuli999,4349597
1985,BA,npopuli999,4383306
1986,BA,npopuli999,4413374
1987,BA,npopuli999,4440300
1988,BA,npopuli999,4463320
1989,BA,npopuli999,4481230
1990,BA,npopuli999,4494310
1991,BA,npopuli999,4502386
1992,BA,npopuli999,4275730
1993,BA,npopuli999,3942981
1994,BA,npopuli999,3762330
1995,BA,npopuli999,3750527
1996,BA,npopuli999,3907751
1997,BA,npopuli999,4047748
1998,BA,npopuli999,4115059
1999,BA,npopuli999,4153014
2000,BA,npopuli999,4179350
2001,BA,npopuli999,4194932
2002,BA,npopuli999,4198410
2003,BA,npopuli999,4183757
2004,BA,npopuli999,4142860
2005,BA,npopuli999,4094297
2006,BA,npopuli999,4058086
2007,BA,npopuli999,4007876
2008,BA,npopuli999,3943392
2009,BA,npopuli999,3877750
2010,BA,npopuli999,3811088
2011,BA,npopuli999,3743142
2012,BA,npopuli999,3674374
2013,BA,npopuli999,3617559
2014,BA,npopuli999,3571068
2015,BA,npopuli999,3524324
2016,BA,npopuli999,3480986
2017,BA,npopuli999,3440027
2018,BA,npopuli999,3400129
2019,BA,npopuli999,3360711
2020,BA,npopuli999,3318407
2021,BA,npopuli999,3270943
2022,BA,npopuli999,3233526
1980,BB,npopuli999,253575
1981,BB,npopuli999,254684
1982,BB,npopuli999,255642
1983,BB,npopuli999,256505
1984,BB,npopuli999,257279
1985,BB,npopuli999,257911
1986,BB,npopuli999,258370
1987,BB,npopuli999,258654
1988,BB,npopuli999,258762
1989,BB,npopuli999,258759
1990,BB,npopuli999,258868
1991,BB,npopuli999,259402
1992,BB,npopuli999,260212
1993,BB,npopuli999,260995
1994,BB,npopuli999,261712
1995,BB,npopuli999,262303
1996,BB,npopuli999,262793
1997,BB,npopuli999,263224
1998,BB,npopuli999,263642
1999,BB,npopuli999,264170
2000,BB,npopuli999,264657
2001,BB,npopuli999,265377
2002,BB,npopuli999,266455
2003,BB,npopuli999,267499
2004,BB,npopuli999,268505
2005,BB,npopuli999,269477
2006,BB,npopuli999,270425
2007,BB,npopuli999,271444
2008,BB,npopuli999,272635
2009,BB,npopuli999,273791
2010,BB,npopuli999,274711
2011,BB,npopuli999,275486
2012,BB,npopuli999,276197
2013,BB,npopuli999,276865
2014,BB,npopuli999,277493
2015,BB,npopuli999,278083
2016,BB,npopuli999,278649
2017,BB,npopuli999,279187
2018,BB,npopuli999,279688
2019,BB,npopuli999,280180
2020,BB,npopuli999,280693
2021,BB,npopuli999,281200
2022,BB,npopuli999,281635
1980,BD,npopuli999,83929768
1981,BD,npopuli999,86154832
1982,BD,npopuli999,88555336
1983,BD,npopuli999,91045480
1984,BD,npopuli999,93534240
1985,BD,npopuli999,95959096
1986,BD,npopuli999,98271744
1987,BD,npopuli999,100490256
1988,BD,npopuli999,102688832
1989,BD,npopuli999,104893672
1990,BD,npopuli999,107147648
1991,BD,npopuli999,109242832
1992,BD,npopuli999,111272104
1993,BD,npopuli999,113418760
1994,BD,npopuli999,115614888
1995,BD,npopuli999,117793336
1996,BD,npopuli999,119876864
1997,BD,npopuli999,122039224
1998,BD,npopuli999,124350472
1999,BD,npopuli999,126754824
2000,BD,npopuli999,129193328
2001,BD,npopuli999,131670480
2002,BD,npopuli999,134139824
2003,BD,npopuli999,136503200
2004,BD,npopuli999,138789728
2005,BD,npopuli999,140912592
2006,BD,npopuli999,142628832
2007,BD,npopuli999,144135936
2008,BD,npopuli999,145421312
2009,BD,npopuli999,146706816
2010,BD,npopuli999,148391136
2011,BD,npopuli999,150211008
2012,BD,npopuli999,152090656
2013,BD,npopuli999,154030144
2014,BD,npopuli999,155961296
2015,BD,npopuli999,157830000
2016,BD,npopuli999,159784576
2017,BD,npopuli999,161793968
2018,BD,npopuli999,163683952
2019,BD,npopuli999,165516224
2020,BD,npopuli999,167420944
2021,BD,npopuli999,169356256
2022,BD,npopuli999,171186368
1980,BE,npopuli999,9828986
1981,BE,npopuli999,9843592
1982,BE,npopuli999,9857343
1983,BE,npopuli999,9866532
1984,BE,npopuli999,9873600
1985,BE,npopuli999,9880534
1986,BE,npopuli999,9887815
1987,BE,npopuli999,9900221
1988,BE,npopuli999,9917995
1989,BE,npopuli999,9937170
1990,BE,npopuli999,9959560
1991,BE,npopuli999,9987070
1992,BE,npopuli999,10016455
1993,BE,npopuli999,10043738
1994,BE,npopuli999,10069182
1995,BE,npopuli999,10095198
1996,BE,npopuli999,10123229
1997,BE,npopuli999,10154872
1998,BE,npopuli999,10188538
1999,BE,npopuli999,10224220
2000,BE,npopuli999,10264343
2001,BE,npopuli999,10309255
2002,BE,npopuli999,10355568
2003,BE,npopuli999,10402550
2004,BE,npopuli999,10456163
2005,BE,npopuli999,10516978
2006,BE,npopuli999,10582975
2007,BE,npopuli999,10653697
2008,BE,npopuli999,10726716
2009,BE,npopuli999,10801356
2010,BE,npopuli999,10877947
2011,BE,npopuli999,10955743
2012,BE,npopuli999,11031139
2013,BE,npopuli999,11103257
2014,BE,npopuli999,11176723
2015,BE,npopuli999,11248303
2016,BE,npopuli999,11316836
2017,BE,npopuli999,11384489
2018,BE,npopuli999,11448595
2019,BE,npopuli999,11510568
2020,BE,npopuli999,11561717
2021,BE,npopuli999,11611419
2022,BE,npopuli999,11655930
1980,BF,npopuli999,6932967
1981,BF,npopuli999,7123730
1982,BF,npopuli999,7321817
1983,BF,npopuli999,7531184
1984,BF,npopuli999,7751476
1985,BF,npopuli999,7979185
1986,BF,npopuli999,8207827
1987,BF,npopuli999,8434996
1988,BF,npopuli999,8663720
1989,BF,npopuli999,8895234
1990,BF,npopuli999,9131361
1991,BF,npopuli999,9365064
1992,BF,npopuli999,9598555
1993,BF,npopuli999,9840075
1994,BF,npopuli999,10091256
1995,BF,npopuli999,10353263
1996,BF,npopuli999,10621210
1997,BF,npopuli999,10897353
1998,BF,npopuli999,11201063
1999,BF,npopuli999,11533554
2000,BF,npopuli999,11882888
2001,BF,npopuli999,12249764
2002,BF,npopuli999,12632269
2003,BF,npopuli999,13030591
2004,BF,npopuli999,13445977
2005,BF,npopuli999,13876127
2006,BF,npopuli999,14316242
2007,BF,npopuli999,14757074
2008,BF,npopuli999,15197915
2009,BF,npopuli999,15650022
2010,BF,npopuli999,16116845
2011,BF,npopuli999,16602651
2012,BF,npopuli999,17113732
2013,BF,npopuli999,17636408
2014,BF,npopuli999,18169842
2015,BF,npopuli999,18718020
2016,BF,npopuli999,19275498
2017,BF,npopuli999,19835858
2018,BF,npopuli999,20392724
2019,BF,npopuli999,20951640
2020,BF,npopuli999,21522626
2021,BF,npopuli999,22100684
2022,BF,npopuli999,22673762
1980,BG,npopuli999,8980606
1981,BG,npopuli999,8978412
1982,BG,npopuli999,8970485
1983,BG,npopuli999,8956433
1984,BG,npopuli999,8939490
1985,BG,npopuli999,8917076
1986,BG,npopuli999,8892100
1987,BG,npopuli999,8865755
1988,BG,npopuli999,8835815
1989,BG,npopuli999,8804430
1990,BG,npopuli999,8767778
1991,BG,npopuli999,8721660
1992,BG,npopuli999,8668540
1993,BG,npopuli999,8611535
1994,BG,npopuli999,8548466
1995,BG,npopuli999,8477579
1996,BG,npopuli999,8401376
1997,BG,npopuli999,8318966
1998,BG,npopuli999,8234927
1999,BG,npopuli999,8162301
2000,BG,npopuli999,8097691
2001,BG,npopuli999,8034860
2002,BG,npopuli999,7974810
2003,BG,npopuli999,7917739
2004,BG,npopuli999,7865316
2005,BG,npopuli999,7815221
2006,BG,npopuli999,7766036
2007,BG,npopuli999,7719035
2008,BG,npopuli999,7674913
2009,BG,npopuli999,7634735
2010,BG,npopuli999,7592273
2011,BG,npopuli999,7543130
2012,BG,npopuli999,7488344
2013,BG,npopuli999,7431167
2014,BG,npopuli999,7372141
2015,BG,npopuli999,7309253
2016,BG,npopuli999,7245975
2017,BG,npopuli999,7182428
2018,BG,npopuli999,7117431
